Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
The Love That I've Lost,38 Special,Rockin' Into The Night,1979,4:35,4,0.431,0.549,2,-11.755,0,0.0293,0.0694,0.000562,0.1,0.526,113.209,18
Stone Cold Believer,38 Special,Rockin' Into The Night,1979,4:16,4,0.59,0.518,0,-11.476,1,0.0243,0.155,0.0000856,0.0831,0.937,91.358,31
Wild-Eyed Southern Boys,38 Special,Wild-Eyed Southern Boys,1981,4:18,4,0.406,0.566,10,-10.766,1,0.0406,0.00295,0.00255,0.17,0.6,143.449,38
Back Alley Sally,38 Special,Wild-Eyed Southern Boys,1981,3:13,4,0.496,0.818,0,-10.571,1,0.0349,0.00536,0.000158,0.342,0.959,156.215,25
Hold On Loosely,38 Special,Wild-Eyed Southern Boys,1981,4:40,4,0.568,0.559,9,-10.175,1,0.0288,0.00888,0.00134,0.0764,0.898,127.232,67
Throw Out The Line,38 Special,Wild-Eyed Southern Boys,1981,3:45,4,0.566,0.704,9,-9.829,0,0.03,0.00688,0.00000233,0.127,0.952,136.85,21
Fantasy Girl,38 Special,Wild-Eyed Southern Boys,1981,4:07,4,0.419,0.775,4,-9.591,1,0.0333,0.054,0.00131,0.0932,0.845,123.525,44
First Time Around,38 Special,Wild-Eyed Southern Boys,1981,4:02,4,0.563,0.694,5,-9.403,1,0.0303,0.00315,0.0000954,0.115,0.859,118.368,32
Bring It On,38 Special,Wild-Eyed Southern Boys,1981,5:39,4,0.54,0.724,4,-9.379,0,0.0289,0.000863,0.011,0.0837,0.766,113.073,20
Honky Tonk Dancer,38 Special,Wild-Eyed Southern Boys,1981,4:56,4,0.649,0.672,10,-9.295,1,0.0286,0.34,0.000801,0.0994,0.943,95.196,21
Hittin' & Runnin',38 Special,Wild-Eyed Southern Boys,1981,4:56,3,0.477,0.647,0,-9.218,1,0.0288,0.124,0.000536,0.0642,0.896,133.154,29
Chain Lightnin',38 Special,Special Forces,1982,5:06,4,0.427,0.67,2,-10.469,0,0.0344,0.0122,0.00024,0.0876,0.551,81.045,40
Rough Housin',38 Special,Special Forces,1982,4:10,4,0.458,0.695,5,-10.208,1,0.0327,0.0000717,0.0143,0.134,0.829,78.561,28
Back On The Track,38 Special,Special Forces,1982,4:44,4,0.474,0.759,9,-10.15,1,0.0312,0.00823,0.000278,0.236,0.876,90.326,26
Back Door Stranger,38 Special,Special Forces,1982,4:40,4,0.506,0.733,9,-9.839,0,0.0346,0.0055,0.0779,0.0387,0.909,122.577,21
You Keep Runnin' Away,38 Special,Special Forces,1982,3:56,4,0.646,0.708,9,-9.821,0,0.0335,0.00564,0,0.154,0.837,132.927,36
Firestarter,38 Special,Special Forces,1982,4:56,4,0.336,0.825,7,-9.632,0,0.0313,0.022,0.00103,0.348,0.817,172.511,16
Breakin' Loose,38 Special,Special Forces,1982,3:33,4,0.436,0.641,4,-9.169,0,0.0414,0.0013,0.0000533,0.115,0.591,77.749,32
Caught Up In You,38 Special,Special Forces,1982,4:39,4,0.425,0.681,1,-8.604,0,0.0316,0.0229,0.000219,0.0543,0.933,131.011,63
Take 'Em Out,38 Special,Special Forces,1982,4:08,4,0.425,0.897,1,-8.256,0,0.0387,0.0129,0.603,0.185,0.803,149.804,24
One Time For Old Times,38 Special,Tour De Force,1983,4:32,4,0.619,0.455,7,-15.083,1,0.0288,0.0163,0.0012,0.0433,0.734,118.798,25
I Oughta Let Go,38 Special,Tour De Force,1983,3:59,4,0.692,0.497,7,-14.932,1,0.0475,0.159,0.000071,0.0652,0.889,96.694,16
Long Distance Affair,38 Special,Tour De Force,1983,3:56,4,0.511,0.623,4,-13.855,1,0.0309,0.00484,0.000711,0.0574,0.874,141.246,28
See Me In Your Eyes,38 Special,Tour De Force,1983,3:54,4,0.502,0.635,2,-13.649,1,0.0366,0.00705,0.0000276,0.0698,0.725,116.82,24
Back Where You Belong,38 Special,Tour De Force,1983,4:29,4,0.505,0.543,7,-13.52,1,0.0325,0.013,0.0000507,0.05,0.909,124.748,45
Undercover Lover,38 Special,Tour De Force,1983,4:11,4,0.515,0.702,7,-13.247,1,0.0301,0.00782,0.00937,0.104,0.633,115.261,17
Twentieth Century Fox,38 Special,Tour De Force,1983,3:45,4,0.412,0.649,5,-12.986,1,0.0368,0.000822,0.0206,0.114,0.634,153.074,31
One Of The Lonely Ones,38 Special,Tour De Force,1983,4:01,4,0.517,0.554,2,-12.351,1,0.0335,0.0256,0.000461,0.128,0.888,124.847,19
If I'd Been The One,38 Special,Tour De Force,1983,3:55,4,0.567,0.761,7,-11.78,1,0.0279,0.00486,0.0000343,0.0547,0.797,142.941,53
Heart's On Fire,38 Special,Strength In Numbers,1986,4:15,4,0.376,0.526,7,-17.106,1,0.04,0.00132,0.179,0.275,0.674,186.243,21
Against The Night,38 Special,Strength In Numbers,1986,3:34,4,0.566,0.554,0,-16.561,1,0.0315,0.00184,0.000195,0.121,0.75,138.573,12
One In A Million,38 Special,Strength In Numbers,1986,3:49,3,0.366,0.38,0,-16.44,1,0.0323,0.0305,0.00000338,0.0507,0.653,118.511,15
Never Give An Inch,38 Special,Strength In Numbers,1986,4:56,4,0.564,0.445,4,-16.272,0,0.0332,0.000993,0.0578,0.139,0.607,120.065,12
Once In A Lifetime,38 Special,Strength In Numbers,1986,3:39,4,0.675,0.431,0,-15.977,1,0.0276,0.0163,0.147,0.123,0.637,113.897,22
Just A Little Love,38 Special,Strength In Numbers,1986,3:34,4,0.587,0.559,7,-15.815,1,0.0317,0.00293,0.0048,0.175,0.689,110.308,13
Has There Ever Been A Good Goodbye,38 Special,Strength In Numbers,1986,3:55,4,0.626,0.519,7,-15.798,1,0.0334,0.0106,0.000117,0.0801,0.621,116.276,20
Last Time,38 Special,Strength In Numbers,1986,3:26,4,0.589,0.514,6,-15.074,0,0.0349,0.00525,0.00183,0.141,0.689,120.316,20
Like No Other Night,38 Special,Strength In Numbers,1986,3:59,4,0.588,0.505,9,-14.532,1,0.0311,0.00213,0.0422,0.164,0.804,124.249,38
Somebody Like You,38 Special,Strength In Numbers,1986,4:08,4,0.616,0.48,7,-14.399,1,0.0277,0.013,0.0363,0.111,0.907,133.627,38
Second Chance,38 Special,Rock & Roll Strategy,1988,5:04,4,0.664,0.426,10,-12.852,1,0.0282,0.166,0,0.0652,0.518,118.785,55
Rock & Roll Strategy,38 Special,Rock & Roll Strategy,1988,4:34,4,0.649,0.58,0,-12.483,1,0.0293,0.0281,0.0000359,0.227,0.673,122.244,22
Love Strikes,38 Special,Rock & Roll Strategy,1988,4:31,4,0.627,0.668,4,-12.107,1,0.0331,0.103,0.0000468,0.15,0.71,123.161,10
Innocent Eyes,38 Special,Rock & Roll Strategy,1988,4:17,4,0.468,0.653,2,-12.008,1,0.0283,0.00609,0.000747,0.25,0.816,127.889,12
Never Be Lonely,38 Special,Rock & Roll Strategy,1988,4:39,4,0.381,0.634,0,-11.952,1,0.0323,0.108,0,0.109,0.542,126.589,18
Chattahoochee,38 Special,Rock & Roll Strategy,1988,4:11,4,0.713,0.633,9,-11.857,1,0.0399,0.144,0.0000755,0.0403,0.947,118.145,10
What's It To Ya?,38 Special,Rock & Roll Strategy,1988,4:30,4,0.622,0.612,9,-11.734,1,0.0338,0.00776,0.0055,0.0641,0.966,138.386,12
Hot Lanta,38 Special,Rock & Roll Strategy,1988,5:42,4,0.523,0.783,2,-11.307,1,0.0391,0.0068,0.00123,0.199,0.746,126.53,13
Comin Down Tonight,38 Special,Rock & Roll Strategy,1988,4:26,4,0.602,0.641,4,-11.047,1,0.0304,0.0321,0.0000228,0.0625,0.794,136.281,27
Little Sheba,38 Special,Rock & Roll Strategy,1988,4:54,4,0.655,0.671,0,-10.919,1,0.0288,0.0229,0.00000809,0.129,0.864,120.724,24
Midnight Magic,38 Special,Rock & Roll Strategy,1988,4:21,4,0.563,0.71,11,-10.477,1,0.0287,0.0202,0,0.147,0.778,124.339,19
Treasure,38 Special,Bone Against Steel,1991,5:40,4,0.525,0.341,4,-12.782,1,0.0254,0.375,0.00000159,0.0586,0.214,98.289,7
Jimmy Gillum,38 Special,Bone Against Steel,1991,5:07,4,0.613,0.577,0,-11.313,1,0.0282,0.0222,0.00000175,0.182,0.589,79.011,6
Signs Of Love,38 Special,Bone Against Steel,1991,4:49,4,0.604,0.552,4,-10.003,1,0.0252,0.23,0,0.304,0.557,92.069,9
"You Be The Dam, I'll Be The Water",38 Special,Bone Against Steel,1991,4:26,4,0.413,0.587,2,-9.979,1,0.0294,0.0855,0,0.218,0.842,204.04,8
The Sound Of Your Voice,38 Special,Bone Against Steel,1991,4:59,4,0.616,0.786,4,-9.973,1,0.0281,0.0148,0,0.224,0.79,136.043,31
Burning Bridges,38 Special,Bone Against Steel,1991,4:46,4,0.664,0.706,2,-9.868,1,0.0288,0.0225,0,0.271,0.735,120.104,16
Bone Against Steel,38 Special,Bone Against Steel,1991,5:24,4,0.594,0.71,2,-9.855,1,0.0293,0.055,0.0000336,0.123,0.769,156.082,12
Last Thing I Ever Do,38 Special,Bone Against Steel,1991,5:21,4,0.621,0.706,9,-9.52,1,0.0289,0.0232,0,0.312,0.719,90.01,9
Rebel To Rebel,38 Special,Bone Against Steel,1991,5:33,4,0.439,0.553,6,-9.495,0,0.0284,0.0178,0.00000526,0.144,0.458,121.161,21
You Definitely Got Me,38 Special,Bone Against Steel,1991,5:12,4,0.749,0.688,9,-9.486,1,0.0319,0.00688,0.00000276,0.0635,0.799,121.051,6
Don't Wanna Get It Dirty,38 Special,Bone Against Steel,1991,4:36,4,0.63,0.812,6,-9.383,1,0.0277,0.00254,0.000119,0.0496,0.963,128.076,5
Tear It Up,38 Special,Bone Against Steel,1991,4:39,4,0.667,0.721,9,-9.123,0,0.0275,0.00622,0,0.386,0.924,126.025,10
Can't Shake It,38 Special,Bone Against Steel,1991,3:29,4,0.584,0.827,4,-8.574,0,0.0356,0.008,0.0000946,0.0406,0.958,74.52,5
Saving Grace,38 Special,Resolution,1997,4:10,4,0.388,0.27,0,-12.046,1,0.0262,0.749,0.00000174,0.109,0.329,175.732,6
Changed by Love,38 Special,Resolution,1997,4:53,4,0.348,0.397,2,-11.633,1,0.028,0.435,0.000326,0.115,0.265,102.885,5
Just Can’t Leave You Alone,38 Special,Resolution,1997,4:24,4,0.716,0.5,11,-8.055,0,0.0296,0.122,0,0.0749,0.51,120.377,5
After the Fire Is Gone,38 Special,Resolution,1997,3:44,4,0.649,0.609,9,-7.313,1,0.0285,0.0406,0,0.0908,0.687,131.028,4
Shelter Me,38 Special,Resolution,1997,4:21,4,0.464,0.786,0,-6.648,1,0.0348,0.177,0,0.0687,0.443,165.889,3
Homeless Guitar,38 Special,Resolution,1997,5:15,4,0.502,0.526,4,-6.422,0,0.0292,0.112,0,0.284,0.248,153.866,7
Shatter the Silence,38 Special,Resolution,1997,4:58,4,0.345,0.761,11,-5.92,0,0.0329,0.00226,0.00132,0.317,0.35,128.023,4
Find My Way Back,38 Special,Resolution,1997,4:57,4,0.574,0.88,11,-5.683,0,0.0314,0.015,0.00000699,0.204,0.668,100.07,5
Miracle Man,38 Special,Resolution,1997,4:05,4,0.561,0.757,9,-5.594,1,0.0361,0.00333,0,0.0997,0.41,142.015,4
Fade to Blue,38 Special,Resolution,1997,4:34,4,0.519,0.86,4,-5.44,0,0.0297,0.0023,0.00000138,0.0896,0.573,142.063,16
Deja Voodoo,38 Special,Resolution,1997,5:56,4,0.604,0.863,7,-5.35,1,0.0332,0.00573,0,0.0722,0.46,113.043,9
Trouble,38 Special,Resolution,1997,5:16,4,0.525,0.858,7,-4.724,1,0.0322,0.00512,0,0.0953,0.494,94.009,4
She Loves to Talk,38 Special,Resolution,1997,3:37,4,0.563,0.856,2,-3.99,1,0.0431,0.0146,0,0.36,0.46,119.972,5
God Rest Ye Merry Gentlemen,38 Special,A Wild-Eyed Christmas Night,2001,2:52,4,0.383,0.447,9,-11.078,0,0.0304,0.0815,0.95,0.163,0.442,119.899,1
That Old Rockin Chair,38 Special,A Wild-Eyed Christmas Night,2001,3:59,3,0.549,0.451,7,-8.363,1,0.0255,0.14,0,0.122,0.178,110.001,2
O' Holy Night,38 Special,A Wild-Eyed Christmas Night,2001,5:25,3,0.432,0.408,0,-8.34,1,0.025,0.122,0,0.204,0.17,150.021,1
Little Drummer Boy,38 Special,A Wild-Eyed Christmas Night,2001,3:51,4,0.497,0.638,9,-7.823,1,0.0316,0.00224,0.00403,0.186,0.559,110.005,2
It's Christmas and I Miss You,38 Special,A Wild-Eyed Christmas Night,2001,4:00,4,0.459,0.77,5,-7.152,1,0.0302,0.0779,0.0000306,0.109,0.538,170.049,2
Hallelujah! It's Christmas,38 Special,A Wild-Eyed Christmas Night,2001,3:59,4,0.459,0.949,9,-6.895,1,0.121,0.000569,0,0.758,0.465,139.972,2
Santa Claus Is Back in Town,38 Special,A Wild-Eyed Christmas Night,2001,3:34,3,0.472,0.79,3,-6.827,1,0.0353,0.00644,0.0000232,0.327,0.689,134.941,2
Jingle Bell Rock,38 Special,A Wild-Eyed Christmas Night,2001,2:19,4,0.401,0.928,4,-6.004,1,0.0614,0.000118,0,0.446,0.597,150.099,3
A Wild-Eyed Christmas Night,38 Special,A Wild-Eyed Christmas Night,2001,4:02,4,0.425,0.917,5,-5.785,1,0.0753,0.00178,0.0000042,0.214,0.512,147.809,2
Here Comes Santa Claus,38 Special,A Wild-Eyed Christmas Night,2001,2:17,4,0.433,0.807,7,-5.424,1,0.0273,0.0000877,0.000501,0.179,0.91,160.063,2
I Saw It In The Mirror,ABBA,Ring Ring,1973,2:33,4,0.766,0.32,5,-11.489,1,0.0387,0.385,0.0000015,0.109,0.444,108.901,20
I Am Just A Girl,ABBA,Ring Ring,1973,3:01,4,0.431,0.33,4,-10.367,1,0.0301,0.766,0.00013,0.34,0.386,98.934,23
Disillusion,ABBA,Ring Ring,1973,3:03,4,0.58,0.436,7,-9.626,1,0.0282,0.765,0.00000258,0.124,0.407,142.172,23
"Another Town, Another Train",ABBA,Ring Ring,1973,3:12,4,0.623,0.631,0,-9.002,1,0.0337,0.477,0.0000048,0.157,0.766,123.156,24
Rock'N'Roll Band,ABBA,Ring Ring,1973,3:09,4,0.574,0.806,9,-7.651,1,0.0269,0.0945,0.000117,0.167,0.861,133.759,21
She's My Kind Of Girl,ABBA,Ring Ring,1973,2:44,4,0.579,0.747,7,-7.163,0,0.0298,0.092,0,0.349,0.627,128.129,22
"Nina, Pretty Ballerina",ABBA,Ring Ring,1973,2:51,4,0.736,0.828,0,-7.097,1,0.034,0.177,0.00000159,0.0878,0.875,125.486,25
Santa Rosa,ABBA,Ring Ring,1973,2:59,4,0.476,0.766,4,-6.994,1,0.0336,0.0998,0.0000416,0.281,0.487,138.966,22
Merry-Go-Round,ABBA,Ring Ring,1973,3:24,4,0.502,0.643,2,-6.748,1,0.0274,0.141,0.0000606,0.334,0.837,95.69,23
Love Isn't Easy (But It Sure Is Hard Enough),ABBA,Ring Ring,1973,2:54,4,0.736,0.705,9,-6.456,1,0.0325,0.235,0,0.285,0.94,127.391,22
Ring Ring - English Version,ABBA,Ring Ring,1973,3:05,4,0.55,0.936,9,-6.404,1,0.0404,0.0518,0.00000134,0.255,0.97,137.289,31
He Is Your Brother,ABBA,Ring Ring,1973,3:18,4,0.41,0.843,4,-6.404,1,0.0329,0.177,0.0000024,0.18,0.967,180.399,21
Me And Bobby And Bobby's Brother,ABBA,Ring Ring,1973,2:50,4,0.756,0.61,5,-6.268,1,0.0293,0.499,0.00000107,0.0705,0.719,129.594,20
People Need Love,ABBA,Ring Ring,1973,2:45,4,0.579,0.681,11,-6.061,1,0.0378,0.494,0,0.177,0.889,78.022,25
"Ring, Ring - Swedish Version",ABBA,Ring Ring,1973,3:10,4,0.498,0.938,9,-4.565,1,0.0473,0.196,0,0.729,0.943,136.293,31
Sitting In The Palmtree,ABBA,Waterloo,1974,3:40,4,0.864,0.33,2,-12.837,1,0.0439,0.754,0.0000095,0.0809,0.885,112.722,41
My Mama Said,ABBA,Waterloo,1974,3:11,4,0.605,0.717,2,-10.547,1,0.0964,0.521,0.0000648,0.249,0.807,105.339,32
Suzy-Hang-Around,ABBA,Waterloo,1974,3:11,4,0.212,0.577,8,-9.83,1,0.0317,0.158,0.0212,0.248,0.617,143.535,28
Gonna Sing You My Love Song,ABBA,Waterloo,1974,3:38,4,0.564,0.455,9,-7.798,1,0.0255,0.567,0,0.0976,0.398,79.728,30
King Kong Song,ABBA,Waterloo,1974,3:12,4,0.548,0.917,2,-7.788,1,0.0444,0.272,0.00000139,0.091,0.861,155.426,31
Watch Out,ABBA,Waterloo,1974,3:47,4,0.61,0.882,9,-7.778,1,0.0633,0.0246,0.0109,0.249,0.678,130.553,30
"Honey, Honey",ABBA,Waterloo,1974,2:55,4,0.474,0.804,5,-7.763,1,0.0473,0.309,0.00000181,0.552,0.757,140.507,65
What About Livingstone,ABBA,Waterloo,1974,2:56,4,0.687,0.668,5,-7.305,1,0.0479,0.499,0.0000112,0.0817,0.855,148.482,29
Hasta Manana,ABBA,Waterloo,1974,3:11,4,0.441,0.583,5,-6.4,1,0.0267,0.544,0,0.143,0.523,169.067,57
Dance (While The Music Still Goes On),ABBA,Waterloo,1974,3:14,4,0.582,0.885,8,-5.794,1,0.0692,0.357,0,0.386,0.485,131.547,40
Honey Honey - Swedish Version,ABBA,Waterloo,1974,3:01,4,0.422,0.846,9,-4.889,1,0.0795,0.136,0.00000466,0.119,0.46,138.291,35
Waterloo,ABBA,Waterloo,1974,2:48,4,0.445,0.949,2,-4.682,1,0.0471,0.395,0.00000818,0.0902,0.653,147.604,74
"Ring, Ring - US Remix",ABBA,Waterloo,1974,3:12,4,0.378,0.833,8,-4.61,1,0.0504,0.00193,0.000169,0.566,0.651,132.331,27
Waterloo - Swedish Version,ABBA,Waterloo,1974,2:46,4,0.474,0.921,2,-3.397,1,0.0347,0.644,0.00000965,0.0448,0.669,146.818,32
Tropical Loveland,ABBA,Abba,1975,3:03,4,0.664,0.474,10,-10.572,1,0.061,0.531,0.0000107,0.0677,0.837,81.884,34
Man In The Middle,ABBA,Abba,1975,3:00,4,0.654,0.671,0,-10.295,1,0.0633,0.144,0.00000279,0.0535,0.962,166.299,31
Crazy World,ABBA,Abba,1975,3:46,4,0.495,0.595,8,-9.067,1,0.0335,0.381,0.000103,0.291,0.547,135.402,35
Mamma Mia,ABBA,Abba,1975,3:33,4,0.749,0.748,2,-7.011,1,0.0323,0.295,0.000443,0.469,0.827,137.547,78
"Hey, Hey Helen",ABBA,Abba,1975,3:15,4,0.649,0.668,2,-6.647,1,0.0425,0.00226,0.0157,0.0594,0.766,117.867,43
Intermezzo No. 1,ABBA,Abba,1975,3:45,4,0.398,0.681,4,-6.267,1,0.0283,0.0604,0.861,0.31,0.495,154.776,31
I've Been Waiting For You,ABBA,Abba,1975,3:40,4,0.394,0.573,9,-5.859,1,0.028,0.651,0.000765,0.107,0.438,153.742,47
SOS,ABBA,Abba,1975,3:22,4,0.415,0.713,5,-5.55,1,0.0278,0.251,0.00197,0.289,0.579,125.056,66
So Long,ABBA,Abba,1975,3:05,4,0.311,0.905,7,-4.727,1,0.0496,0.0305,0.846,0.343,0.772,159.134,48
Rock Me,ABBA,Abba,1975,3:04,4,0.691,0.857,11,-4.68,1,0.0872,0.537,0,0.502,0.741,132.753,40
Medley: Pick A Bale Of Cotton,ABBA,Abba,1975,4:21,4,0.336,0.953,9,-4.402,1,0.241,0.0289,0.0000135,0.0599,0.622,167.677,31
"I Do, I Do, I Do, I Do, I Do",ABBA,Abba,1975,3:15,4,0.461,0.806,0,-4.257,1,0.0355,0.677,0.0163,0.348,0.748,110.701,61
Bang-A-Boomerang,ABBA,Abba,1975,3:02,4,0.499,0.761,5,-3.457,1,0.0301,0.034,0.000613,0.32,0.886,131.998,48
Fernando,ABBA,Arrival,1976,4:12,4,0.354,0.535,9,-8.876,1,0.0303,0.627,0.0000029,0.0808,0.434,110.821,69
"My Love, My Life",ABBA,Arrival,1976,3:51,4,0.208,0.424,0,-7.532,1,0.0275,0.781,0.0000701,0.107,0.247,148.875,53
Arrival,ABBA,Arrival,1976,3:00,3,0.232,0.491,1,-7.328,1,0.0329,0.689,0.938,0.0662,0.153,69.612,40
Happy Hawaii,ABBA,Arrival,1976,4:25,4,0.525,0.783,0,-7.325,1,0.041,0.288,0.000422,0.375,0.331,118.274,38
"Knowing Me, Knowing You",ABBA,Arrival,1976,4:01,4,0.546,0.733,2,-7.073,1,0.0299,0.0399,0.00000111,0.235,0.91,107.285,67
"Money, Money, Money",ABBA,Arrival,1976,3:06,4,0.787,0.704,9,-6.873,0,0.0385,0.535,0.00305,0.089,0.646,120.701,70
That's Me,ABBA,Arrival,1976,3:15,4,0.558,0.864,6,-6.654,1,0.0295,0.167,0.000216,0.242,0.841,129.42,50
Dum Dum Diddle,ABBA,Arrival,1976,2:53,4,0.666,0.818,4,-6.581,1,0.0321,0.228,0.0000165,0.306,0.881,127.33,46
Dancing Queen,ABBA,Arrival,1976,3:50,4,0.543,0.87,9,-6.514,1,0.0428,0.358,0.000939,0.792,0.754,100.804,84
Why Did It Have To Be Me?,ABBA,Arrival,1976,3:20,4,0.557,0.9,2,-6.215,1,0.0387,0.517,0.00554,0.535,0.863,117.42,52
When I Kissed The Teacher,ABBA,Arrival,1976,3:01,4,0.527,0.939,3,-5.795,1,0.0442,0.519,0.0000613,0.06,0.714,153.755,58
Tiger,ABBA,Arrival,1976,2:55,4,0.569,0.907,8,-5.77,1,0.0429,0.279,0.00000195,0.106,0.836,134.819,41
I Wonder (Departure),ABBA,The Album,1977,4:32,4,0.372,0.25,0,-11.126,1,0.0281,0.524,0.000048,0.119,0.227,135.396,33
Thank You For The Music,ABBA,The Album,1977,3:49,4,0.283,0.417,4,-9.124,1,0.0404,0.835,0,0.102,0.373,201.145,63
Move On,ABBA,The Album,1977,4:43,3,0.57,0.556,10,-8.903,1,0.0251,0.322,0.00000321,0.779,0.797,97.36,41
The Name Of The Game,ABBA,The Album,1977,4:51,4,0.656,0.565,9,-8.722,1,0.0301,0.357,0.000192,0.0629,0.615,77.049,59
Take A Chance On Me,ABBA,The Album,1977,4:03,4,0.684,0.675,11,-8.123,1,0.0257,0.163,0,0.242,0.924,107.064,76
"One Man, One Woman",ABBA,The Album,1977,4:35,4,0.484,0.524,9,-7.931,1,0.0263,0.531,0.0000224,0.148,0.55,71.828,44
Thank You For The Music - Doris Day Mix,ABBA,The Album,1977,4:03,4,0.652,0.436,2,-7.464,1,0.0283,0.666,0,0.279,0.562,98.605,28
I'm A Marionette,ABBA,The Album,1977,4:03,3,0.458,0.662,4,-6.811,0,0.0396,0.376,0.0000116,0.108,0.137,149.907,34
Eagle - Long Version,ABBA,The Album,1977,5:50,4,0.481,0.763,2,-6.698,1,0.0263,0.216,0.00000975,0.204,0.554,85.191,47
Hole In Your Soul,ABBA,The Album,1977,3:41,4,0.395,0.811,4,-5.546,1,0.0945,0.0767,0.0159,0.342,0.615,154.708,39
I Have A Dream,ABBA,Voulez-Vous,1979,4:45,4,0.549,0.374,10,-12.049,1,0.0244,0.6,0,0.178,0.439,104.311,64
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,Voulez-Vous,1979,4:52,4,0.749,0.491,10,-9.655,1,0.0403,0.02,0.00899,0.159,0.536,119.528,80
The King Has Lost His Crown,ABBA,Voulez-Vous,1979,3:32,4,0.717,0.557,7,-8.236,1,0.0287,0.162,0.000128,0.0644,0.446,114.737,41
Chiquitita,ABBA,Voulez-Vous,1979,5:26,4,0.5,0.554,9,-8.108,1,0.0354,0.734,0.00000372,0.312,0.372,84.229,72
Kisses Of Fire,ABBA,Voulez-Vous,1979,3:16,4,0.589,0.754,1,-6.963,0,0.0466,0.147,0.000209,0.427,0.622,135.449,46
