Customer ID,Age,Gender,Location,Annual Income,Purchase History,Browsing History,Product Reviews,Time on Site
1008,48,Male,City K,80000,"{'Purchase Date': '2022-09-08', 'Product Category': 'Electronics', 'Price': 350.2},{'Purchase Date': '2022-08-23', 'Product Category': 'Clothing', 'Price': 165.3},{'Purchase Date': '2022-07-07', 'Product Category': 'Home & Garden', 'Price': 280.9}",{'Timestamp': '2022-06-30 11:15:00'},"{""Product 1"": {""Rating"": 3, ""Review"": ""Good product, but not what I expected.""}}",298.6
1009,25,Other,City L,40000,"{'Purchase Date': '2022-08-25', 'Product Category': 'Electronics', 'Price': 170.8},{'Purchase Date': '2022-07-09', 'Product Category': 'Clothing', 'Price': 105.6},{'Purchase Date': '2022-06-24', 'Product Category': 'Home & Garden', 'Price': 290.1}",{'Timestamp': '2022-09-14 10:00:00'},"{""Product 1"": {""Rating"": 4, ""Review"": ""Great product, will definitely buy again.""}}",312.5
1001,45,Female,City D,75000,"{'Purchase Date': '2022-03-05', 'Product Category': 'Clothing', 'Price': 45.99},{'Purchase Date': '2022-04-12', 'Product Category': 'Home & Garden', 'Price': 120.5}",{'Timestamp': '2022-03-06 14:30:00'},"{""Review Text"": ""Great quality clothes!"", ""Rating"": 5}",120
1002,32,Male,City A,50000,"{'Purchase Date': '2022-02-15', 'Product Category': 'Electronics', 'Price': 250},{'Purchase Date': '2022-05-10', 'Product Category': 'Clothing', 'Price': 34.99}",{'Timestamp': '2022-05-12 16:15:00'},"{""Review Text"": ""Good product, but could be cheaper."", ""Rating"": 3}",75
1003,60,Other,City B,80000,"{'Purchase Date': '2022-01-18', 'Product Category': 'Home & Garden', 'Price': 180},{'Purchase Date': '2022-06-02', 'Product Category': 'Electronics', 'Price': 400}",{'Timestamp': '2022-06-03 10:45:00'},"{""Review Text"": ""Very satisfied with my purchase!"", ""Rating"": 5}",200
1004,28,Female,City C,45000,"{'Purchase Date': '2022-04-25', 'Product Category': 'Clothing', 'Price': 29.99},{'Purchase Date': '2022-07-07', 'Product Category': 'Home & Garden', 'Price': 150}",{'Timestamp': '2022-07-08 13:00:00'},"{""Review Text"": ""Not what I expected."", ""Rating"": 2}",150
1005,55,Male,City E,90000,"{'Purchase Date': '2022-05-20', 'Product Category': 'Electronics', 'Price': 600},{'Purchase Date': '2022-08-03', 'Product Category': 'Clothing', 'Price': 59.99}",{'Timestamp': '2022-08-04 09:30:00'},"{""Review Text"": ""Excellent product, highly recommend!"", ""Rating"": 5}",300
1006,38,Female,City F,65000,"{'Purchase Date': '2022-06-15', 'Product Category': 'Home & Garden', 'Price': 220},{'Purchase Date': '2022-09-01', 'Product Category': 'Electronics', 'Price': 300}",{'Timestamp': '2022-09-02 11:15:00'},"{""Review Text"": ""Awesome purchase!"", ""Rating"": 5}",250
1007,42,Male,City G,70000,"{'Purchase Date': '2022-07-22', 'Product Category': 'Clothing', 'Price': 39.99},{'Purchase Date': '2022-10-06', 'Product Category': 'Home & Garden', 'Price': 190}",{'Timestamp': '2022-10-07 14:45:00'},"{""Review Text"": ""Good product, but not worth the price."", ""Rating"": 3}",180
1008,50,Female,City H,85000,"{'Purchase Date': '2022-08-08', 'Product Category': 'Electronics', 'Price': 550},{'Purchase Date': '2022-11-01', 'Product Category': 'Clothing', 'Price': 44.99}",{'Timestamp': '2022-11-02 10:30:00'},"{""Review Text"": ""Great product, highly recommend!"", ""Rating"": 5}",280
1009,35,Male,City I,55000,"{'Purchase Date': '2022-09-20', 'Product Category': 'Home & Garden', 'Price': 200},{'Purchase Date': '2022-12-05', 'Product Category': 'Electronics', 'Price': 350}",{'Timestamp': '2022-12-06 12:00:00'},"{""Review Text"": ""Satisfied with my purchase!"", ""Rating"": 4}",220
1010,48,Female,City J,75000,"{'Purchase Date': '2022-10-15', 'Product Category': 'Clothing', 'Price': 34.99},{'Purchase Date': '2022-12-20', 'Product Category': 'Home & Garden', 'Price': 250}",{'Timestamp': '2022-12-21 15:30:00'},"{""Review Text"": ""Excellent product, highly recommend!"", ""Rating"": 5}",200
1011,30,Male,City K,40000,"{'Purchase Date': '2022-11-05', 'Product Category': 'Electronics', 'Price': 150},{'Purchase Date': '2023-01-10', 'Product Category': 'Clothing', 'Price': 29.99}",{'Timestamp': '2023-01-11 08:45:00'},"{""Review Text"": ""Good product, but could be better."", ""Rating"": 3}",160
1012,65,Female,City L,95000,"{'Purchase Date': '2022-12-25', 'Product Category': 'Home & Garden', 'Price': 170},{'Purchase Date': '2023-02-05', 'Product Category': 'Electronics', 'Price': 450}",{'Timestamp': '2023-02-06 13:15:00'},"{""Review Text"": ""Excellent product, highly recommend!"", ""Rating"": 5}",240
1001,24,Female,City D,45000,"[{""Purchase Date"": ""2022-09-15"", ""Product Category"": ""Clothing"", ""Price"": 34.5}]","[{""Timestamp"": ""2022-08-20T14:30:00Z""}, {""Timestamp"": ""2022-08-22T16:45:00Z""}, {""Timestamp"": ""2022-09-03T10:20:00Z""}]",This dress is amazing! I love the color and fit. 5 stars.,120.5
1001,35,Female,City D,50000,"{'Purchase Date': '2022-05-15', 'Product Category': 'Clothing', 'Price': 120},{'Purchase Date': '2022-06-02', 'Product Category': 'Home & Garden', 'Price': 250}",{'Timestamp': '2022-04-20T14:30:00Z'},The blouse is so comfortable and stylish. 5 stars!,120
1002,45,Male,City E,80000,"{'Purchase Date': '2022-06-12', 'Product Category': 'Electronics', 'Price': 350}",{'Timestamp': '2022-05-25T17:45:00Z'},The headphones are great. Sound quality is excellent. 4.5 stars.,300
1003,28,Female,City F,60000,"{'Purchase Date': '2022-05-28', 'Product Category': 'Clothing', 'Price': 75},{'Purchase Date': '2022-06-10', 'Product Category': 'Home & Garden', 'Price': 120}",{'Timestamp': '2022-06-01T09:15:00Z'},The dress fits perfectly. I love it. 5 stars!,250
1004,52,Male,City G,70000,"{'Purchase Date': '2022-05-08', 'Product Category': 'Electronics', 'Price': 200},{'Purchase Date': '2022-06-05', 'Product Category': 'Home & Garden', 'Price': 150}",{'Timestamp': '2022-05-22T10:30:00Z'},The vacuum cleaner works great. 4 stars.,350
1005,31,Female,City H,45000,"{'Purchase Date': '2022-05-18', 'Product Category': 'Clothing', 'Price': 50},{'Purchase Date': '2022-06-07', 'Product Category': 'Home & Garden', 'Price': 100}",{'Timestamp': '2022-05-30T13:45:00Z'},"The top is nice, but the size is a bit small. 3.5 stars.",200
1006,48,Male,City I,90000,"{'Purchase Date': '2022-05-23', 'Product Category': 'Electronics', 'Price': 400},{'Purchase Date': '2022-06-03', 'Product Category': 'Home & Garden', 'Price': 200}",{'Timestamp': '2022-06-06T08:00:00Z'},The phone is fantastic. 5 stars!,400
1007,60,Female,City J,65000,"{'Purchase Date': '2022-05-25', 'Product Category': 'Clothing', 'Price': 100},{'Purchase Date': '2022-06-08', 'Product Category': 'Home & Garden', 'Price': 180}",{'Timestamp': '2022-06-15T11:30:00Z'},The shirt is comfortable. 4 stars.,300
1008,55,Male,City K,85000,"{'Purchase Date': '2022-05-20', 'Product Category': 'Electronics', 'Price': 300},{'Purchase Date': '2022-06-04', 'Product Category': 'Home & Garden', 'Price': 250}",{'Timestamp': '2022-05-28T15:15:00Z'},The laptop is excellent. 5 stars!,450
1009,29,Female,City L,40000,"{'Purchase Date': '2022-05-16', 'Product Category': 'Clothing', 'Price': 60},{'Purchase Date': '2022-06-06', 'Product Category': 'Home & Garden', 'Price': 150}",{'Timestamp': '2022-05-31T16:45:00Z'},The shoes are comfortable. 4.5 stars.,250
1010,58,Male,City M,75000,"{'Purchase Date': '2022-05-12', 'Product Category': 'Electronics', 'Price': 250},{'Purchase Date': '2022-06-01', 'Product Category': 'Home & Garden', 'Price': 175}",{'Timestamp': '2022-05-29T10:30:00Z'},The coffee maker is great. 5 stars!,350
1011,36,Female,City N,55000,"{'Purchase Date': '2022-05-27', 'Product Category': 'Clothing', 'Price': 80},{'Purchase Date': '2022-06-09', 'Product Category': 'Home & Garden', 'Price': 200}",{'Timestamp': '2022-06-13T13:00:00Z'},The skirt is lovely. 4.5 stars.,200
1012,42,Male,City O,95000,"{'Purchase Date': '2022-05-22', 'Product Category': 'Electronics', 'Price': 350},{'Purchase Date': '2022-06-02', 'Product Category': 'Home & Garden', 'Price': 100}",{'Timestamp': '2022-05-26T11:15:00Z'},The TV is amazing. 5 stars!,300
1013,50,Female,City P,68000,"{'Purchase Date': '2022-05-19', 'Product Category': 'Clothing', 'Price': 120},{'Purchase Date': '2022-06-07', 'Product Category': 'Home & Garden', 'Price': 150}",{'Timestamp': '2022-06-08T14:30:00Z'},The bedding is comfortable. 4 stars.,250
1001,32,Female,City D,65000,"[{""Product Category"": ""Clothing"", ""Purchase Date"": ""2022-08-15"", ""Price"": 45.23}, {""Product Category"": ""Electronics"", ""Purchase Date"": ""2022-07-20"", ""Price"": 250.34}]","[{""Product Category"": ""Home & Garden"", ""Timestamp"": ""2022-09-01T14:30:00Z""}, {""Product Category"": ""Clothing"", ""Timestamp"": ""2022-08-25T12:15:00Z""}]",Great find! 5 stars,72.3
1001,35,Female,City D,60000,"[{""Product Category"": ""Electronics"", ""Purchase Date"": ""2022-03-15"", ""Price"": 250.5}, {""Product Category"": ""Clothing"", ""Purchase Date"": ""2022-02-01"", ""Price"": 125.8}]","[{""Product Category"": ""Home & Garden"", ""Timestamp"": ""2022-04-03T15:30:00Z""}, {""Product Category"": ""Electronics"", ""Timestamp"": ""2022-03-28T08:45:00Z""}]","Great product, very happy with my purchase.",123.6
1002,42,Male,City E,75000,"[{""Product Category"": ""Clothing"", ""Purchase Date"": ""2022-02-20"", ""Price"": 150.2}, {""Product Category"": ""Home & Garden"", ""Purchase Date"": ""2022-01-12"", ""Price"": 450}]","[{""Product Category"": ""Electronics"", ""Timestamp"": ""2022-03-01T10:15:00Z""}, {""Product Category"": ""Clothing"", ""Timestamp"": ""2022-02-15T16:30:00Z""}]",The product arrived quickly and in great condition.,246.9
1001,32,Female,City D,55000,"[{""Product Category"": ""Electronics"", ""Purchase Date"": ""2022-03-15"", ""Price"": 249.99}]","[{""Product Category"": ""Home & Garden"", ""Timestamp"": ""2022-02-20T12:34:56Z""}]","Great headphones, sound quality is amazing.",75.2
1001,28,Female,City D,65000,"[{""Product Category"": ""Clothing"", ""Purchase Date"": ""2022-06-12"", ""Price"": 45.99}, {""Product Category"": ""Electronics"", ""Purchase Date"": ""2022-05-08"", ""Price"": 199.99}]","[{""Product Category"": ""Home & Garden"", ""Timestamp"": ""2022-06-15T12:34:56Z""}, {""Product Category"": ""Electronics"", ""Timestamp"": ""2022-05-20T16:17:23Z""}]",Great purchase! The shoes are so comfortable and stylish. I've received several compliments.,120.5
1002,42,Male,City E,80000,"[{""Product Category"": ""Electronics"", ""Purchase Date"": ""2022-07-03"", ""Price"": 249.99}, {""Product Category"": ""Home & Garden"", ""Purchase Date"": ""2022-06-17"", ""Price"": 129.99}]","[{""Product Category"": ""Clothing"", ""Timestamp"": ""2022-07-10T09:15:32Z""}, {""Product Category"": ""Electronics"", ""Timestamp"": ""2022-06-25T14:46:01Z""}]",I'm really happy with my new phone. The battery life is impressive.,250
1003,35,Other,City F,50000,"[{""Product Category"": ""Clothing"", ""Purchase Date"": ""2022-06-22"", ""Price"": 34.99}, {""Product Category"": ""Electronics"", ""Purchase Date"": ""2022-05-15"", ""Price"": 149.99}]","[{""Product Category"": ""Home & Garden"", ""Timestamp"": ""2022-06-27T10:30:11Z""}, {""Product Category"": ""Electronics"", ""Timestamp"": ""2022-05-30T13:02:45Z""}]",The headphones are amazing! The sound quality is excellent.,75
1004,52,Female,City G,100000,"[{""Product Category"": ""Clothing"", ""Purchase Date"": ""2022-07-08"", ""Price"": 79.99}, {""Product Category"": ""Home & Garden"", ""Purchase Date"": ""2022-06-24"", ""Price"": 399.99}]","[{""Product Category"": ""Electronics"", ""Timestamp"": ""2022-07-12T11:45:06Z""}, {""Product Category"": ""Clothing"", ""Timestamp"": ""2022-06-30T16:23:30Z""}]",I love my new kitchen gadget! It's so efficient and easy to use.,300
1005,24,Male,City H,45000,"[{""Product Category"": ""Electronics"", ""Purchase Date"": ""2022-06-01"", ""Price"": 129.99}, {""Product Category"": ""Home & Garden"", ""Purchase Date"": ""2022-05-18"", ""Price"": 59.99}]","[{""Product Category"": ""Clothing"", ""Timestamp"": ""2022-06-05T08:00:23Z""}, {""Product Category"": ""Electronics"", ""Timestamp"": ""2022-05-28T14:30:56Z""}]",The laptop is perfect for my needs. It's lightweight and powerful.,100
1001,34,Female,City D,55000,"[{""Purchase Date"": ""2022-07-02"",""Product Category"": ""Clothing"",""Price"": 25.6},{""Purchase Date"": ""2022-06-15"",""Product Category"": ""Electronics"",""Price"": 120},{""Purchase Date"": ""2022-05-10"",""Product Category"": ""Home & Garden"",""Price"": 35}]","[{""Timestamp"": ""2022-08-14T09:30:00Z""},{""Timestamp"": ""2022-07-25T14:15:00Z""},{""Timestamp"": ""2022-06-01T10:45:00Z""}]",The clothing arrived quickly and fits great! 5 stars.,120
1002,45,Male,City E,87000,"[{""Purchase Date"": ""2022-07-08"",""Product Category"": ""Electronics"",""Price"": 420},{""Purchase Date"": ""2022-06-23"",""Product Category"": ""Clothing"",""Price"": 75},{""Purchase Date"": ""2022-05-12"",""Product Category"": ""Home & Garden"",""Price"": 200}]","[{""Timestamp"": ""2022-08-12T16:00:00Z""},{""Timestamp"": ""2022-07-27T08:30:00Z""},{""Timestamp"": ""2022-06-03T11:00:00Z""}]",The electronics were excellent quality and arrived promptly. 5 stars.,350
1003,29,Other,City F,42000,"[{""Purchase Date"": ""2022-07-01"",""Product Category"": ""Electronics"",""Price"": 180},{""Purchase Date"": ""2022-06-18"",""Product Category"": ""Clothing"",""Price"": 50},{""Purchase Date"": ""2022-05-09"",""Product Category"": ""Home & Garden"",""Price"": 30}]","[{""Timestamp"": ""2022-08-13T13:45:00Z""},{""Timestamp"": ""2022-07-26T07:00:00Z""},{""Timestamp"": ""2022-06-02T15:30:00Z""}]",The electronics were as described and arrived on time. 4 stars.,200
