Country,Year,GDP (in Trillions USD),GDP per Capita (in USD),Inflation Rate (%),Population (in Millions),Population Growth Rate (%),Urban Population (%),Life Expectancy (Years),Healthcare Expenditure per Capita (USD),Doctor-to-Patient Ratio,Literacy Rate (%),Education Expenditure as % of GDP,Internet Penetration (%),Smartphone Adoption (%),Energy Consumption (TWh),Renewable Energy Share (%),Military Expenditure (in Billion USD),Number of Active Military Personnel,CO2 Emissions (Million Metric Tons),Forest Coverage (%),Number of Airports,Road Network Length (in km),Public Transport Usage (%),Human Development Index (HDI),Gender Equality Index,Poverty Rate (%),Number of International Visitors (in Millions),Tourism Revenue (in Billion USD),Agricultural Land (%),Unemployment Rate (%),Labor Force Participation Rate (%),"Crime Rate (per 100,000)",Corruption Perception Index,Freedom of Press Index,Voting Participation Rate (%)
Canada,2003,1.8,48208.0,1.81,37.55,0.91,78.41,85.51,5124.0,2.99,99.3,6.02,91.88,84.0,543.4,66.93,21.93,69525.0,520.02,39.79,512.5,1028000.0,18.36,0.92,0.99,9.1,21.21,31.11,7.05,5.57,66.23,811.2,73.41,15.76,61.68
China,2003,13.71,9900.0,2.47,1364.45,0.29,61.8,73.4,452.25,1.71,93.51,4.11,67.99,71.68,7065.2,28.57,263.09,1972100.0,9920.0,22.37,236.88,5160000.0,34.0,0.74,0.79,2.04,67.53,117.84,54.22,3.44,64.89,96.3,41.79,175.94,68.54
India,2003,2.93,2129.4,5.04,1444.86,0.95,34.37,66.42,74.68,0.87,77.18,3.06,45.05,40.26,1491.0,11.98,73.77,1428116.0,2299.2,24.43,246.5,6165500.0,22.17,0.67,0.66,22.23,11.1,26.85,59.82,7.38,49.3,248.25,41.36,136.22,69.04
Australia,2003,1.37,53954.0,1.47,25.32,1.32,87.89,80.4,5257.2,3.53,103.95,4.73,94.73,88.06,310.2,21.87,26.34,55622.0,416.56,16.0,616.8,860430.0,17.46,0.98,0.93,9.54,9.08,61.44,51.3,5.13,67.19,895.5,74.84,23.85,92.55
USA,2004,21.43,67665.0,2.21,333.98,0.59,83.08,81.79,10483.0,2.56,101.97,4.88,87.84,86.78,4242.0,17.51,726.14,1390200.0,5283.6,34.09,13560.8,6659400.0,11.77,0.94,0.96,9.99,82.48,217.14,45.72,3.8,61.8,297.6,69.14,42.8,66.73
Russia,2004,1.7,10780.0,3.07,138.62,0.1,76.07,76.23,519.23,3.87,95.93,4.28,81.31,74.1,1046.85,18.62,59.42,994000.0,1633.6,49.34,1167.6,1453500.0,25.7,0.83,0.72,11.93,25.1,36.75,12.8,4.39,59.46,481.0,29.01,154.35,65.33
Canada,2004,1.8,45126.0,1.83,38.04,0.91,80.19,84.93,5239.5,2.89,96.13,6.0,92.53,85.91,575.85,70.02,23.03,67432.5,545.94,37.7,514.0,965000.0,18.29,0.94,0.93,9.07,21.45,28.59,6.83,5.49,65.97,803.2,76.74,15.38,59.16
China,2004,14.11,10210.0,2.45,1342.08,0.29,59.94,73.94,440.1,1.82,95.06,4.03,67.8,71.26,6698.0,29.64,249.25,2041800.0,9610.0,20.97,233.52,4845000.0,32.4,0.77,0.84,1.95,65.26,123.12,53.78,3.44,61.55,100.6,40.15,173.11,75.24
India,2004,2.87,2081.1,4.7,1348.26,0.98,33.63,68.98,70.3,0.87,73.19,3.15,44.15,42.23,1479.0,12.07,68.02,1448332.0,2450.4,24.12,241.75,5941300.0,23.18,0.64,0.64,22.51,10.87,26.96,58.5,7.27,48.5,254.0,38.36,140.98,68.24
Australia,2004,1.36,55544.0,1.46,24.62,1.32,84.02,82.23,5376.8,3.46,95.83,4.97,90.36,86.69,305.7,22.2,28.0,56318.0,396.88,15.39,596.4,843030.0,16.8,0.94,0.98,10.05,9.04,57.3,55.12,5.2,64.55,876.6,75.69,25.65,90.34
USA,2005,21.34,66235.0,2.32,329.01,0.62,82.17,82.18,11198.0,2.49,94.05,5.18,89.09,82.45,4179.0,17.05,761.28,1412600.0,4982.7,33.2,13895.8,6428400.0,11.71,0.92,0.99,10.53,78.4,223.96,42.72,3.63,60.98,288.0,71.76,44.1,69.55
Russia,2005,1.7,10868.0,3.17,147.47,0.1,71.04,73.25,504.52,4.11,99.3,4.21,85.51,79.57,1102.5,19.29,60.16,1029000.0,1643.2,47.14,1213.2,1464000.0,23.93,0.83,0.75,12.03,23.95,36.65,12.69,4.43,62.28,507.5,29.46,147.6,63.9
Canada,2005,1.81,45540.0,1.96,37.37,0.89,80.19,85.67,5423.25,2.95,96.03,5.94,93.28,84.16,530.2,65.93,22.02,67635.0,515.16,38.87,485.5,998000.0,18.59,0.96,0.96,9.17,22.2,28.74,7.01,5.49,64.28,836.0,75.04,15.3,57.78
China,2005,14.67,10200.0,2.33,1350.47,0.29,57.06,78.92,463.95,1.72,94.77,3.83,66.62,68.74,6507.6,29.67,247.95,1980300.0,10190.0,22.81,247.2,5235000.0,32.37,0.8,0.79,2.08,61.95,117.36,55.08,3.57,63.5,100.8,42.71,180.72,73.15
India,2005,2.9,2163.0,4.62,1317.9,1.05,33.7,67.94,73.44,0.94,77.03,3.23,43.2,42.84,1452.0,12.47,71.64,1425228.0,2308.8,23.38,237.75,5841000.0,21.99,0.65,0.69,22.78,10.47,29.23,59.22,7.38,49.65,259.25,39.4,135.8,63.16
Australia,2005,1.29,54537.0,1.48,25.62,1.33,81.87,80.31,4981.6,3.46,99.79,4.69,87.45,84.19,294.9,22.86,27.34,57884.0,418.61,16.19,615.0,833460.0,17.37,0.91,0.93,9.61,9.15,62.4,55.44,5.11,64.28,930.6,77.92,26.07,92.09
USA,2006,21.26,62465.0,2.19,328.35,0.62,86.9,81.55,11264.0,2.72,103.85,5.01,91.05,82.88,4006.8,17.07,759.82,1398600.0,5176.5,33.63,13601.0,6520800.0,11.82,0.92,0.98,10.68,81.6,216.92,42.2,3.82,60.35,291.9,66.86,44.37,63.92
Russia,2006,1.64,10494.0,3.08,143.26,0.1,71.71,70.86,527.62,4.0,97.22,4.42,81.14,79.42,1097.25,19.84,59.85,966000.0,1652.8,50.13,1233.6,1528500.0,24.12,0.82,0.75,12.89,25.8,34.62,13.43,4.69,57.36,515.5,30.57,151.95,65.97
Canada,2006,1.67,45218.0,1.88,36.3,0.87,82.13,83.7,5444.25,2.8,99.79,5.81,90.02,81.92,529.1,63.85,22.15,66015.0,554.04,38.19,486.5,991000.0,17.6,0.93,0.97,8.95,21.1,29.46,6.78,5.5,61.88,762.4,73.78,15.84,57.54
China,2006,14.76,9830.0,2.32,1411.98,0.3,59.52,78.39,437.4,1.76,93.99,3.97,66.56,67.48,6834.0,30.36,248.21,1986450.0,10110.0,22.13,235.44,4985000.0,33.49,0.75,0.78,2.03,62.92,125.76,53.46,3.59,59.98,104.8,42.13,178.59,69.05
India,2006,2.81,2076.9,4.68,1397.94,1.04,34.34,68.78,72.2,0.88,74.44,3.0,45.99,39.44,1551.0,11.99,71.5,1425228.0,2455.2,23.28,241.5,6165500.0,23.53,0.65,0.65,20.94,11.44,28.98,57.18,7.17,48.95,244.0,38.76,145.46,64.09
Australia,2006,1.27,50668.0,1.53,25.38,1.35,88.41,82.07,4945.2,3.29,94.45,5.13,89.09,88.32,294.0,23.05,26.81,57478.0,423.94,16.45,574.8,867390.0,17.02,0.92,1.0,9.76,9.44,61.32,51.04,5.25,64.09,860.4,76.61,25.1,92.83
USA,2007,20.96,66235.0,2.35,330.34,0.61,80.51,77.68,10978.0,2.56,103.85,5.16,88.2,82.7,4061.4,17.66,740.78,1404200.0,5304.0,32.93,13467.0,6732000.0,11.65,0.89,0.95,10.28,79.6,229.9,44.62,3.84,60.48,312.9,72.17,46.44,65.06
Russia,2007,1.56,10692.0,3.08,138.47,0.1,73.26,74.49,523.42,4.16,98.9,4.44,84.17,75.85,1022.7,19.8,62.13,956000.0,1660.8,47.92,1149.6,1462500.0,23.88,0.81,0.69,12.18,25.93,36.12,13.35,4.56,61.08,490.0,28.83,156.6,67.47
Canada,2007,1.82,44712.0,1.9,38.74,0.88,83.11,78.68,5108.25,2.83,95.34,5.89,89.65,81.75,558.25,63.92,22.09,70065.0,561.06,39.37,511.0,1023000.0,17.17,0.92,0.95,9.61,20.92,29.97,7.21,5.84,67.41,772.0,76.44,15.47,57.24
China,2007,13.85,10290.0,2.39,1462.31,0.3,62.22,79.69,430.65,1.73,100.69,4.08,62.85,68.53,6596.0,27.93,257.87,2117650.0,9630.0,21.63,244.32,4970000.0,35.33,0.77,0.79,2.05,64.61,121.68,56.05,3.67,60.29,100.1,41.96,178.95,73.37
India,2007,2.78,2179.8,4.99,1397.94,1.03,34.34,71.0,74.83,0.87,74.44,3.0,46.71,40.1,1519.5,12.44,71.14,1393460.0,2426.4,25.01,247.0,6023900.0,23.55,0.61,0.68,22.25,10.93,28.9,60.6,7.72,47.7,239.0,41.84,137.06,67.78
Australia,2007,1.33,51251.0,1.47,25.73,1.28,87.2,84.98,5080.4,3.3,94.84,5.13,90.82,84.88,303.9,24.08,28.77,55158.0,419.84,16.29,628.8,912630.0,17.58,0.9,0.96,9.37,9.24,57.24,51.52,4.99,68.84,917.1,80.77,24.7,94.76
USA,2008,20.66,66625.0,2.39,315.44,0.58,87.07,76.81,10626.0,2.49,96.62,5.03,88.73,87.47,4132.8,16.22,736.39,1379000.0,5161.2,31.98,12797.0,6342600.0,11.44,0.97,1.03,10.47,83.52,219.56,43.3,3.77,63.13,303.3,67.97,43.52,64.19
Russia,2008,1.57,10472.0,2.97,149.93,0.1,70.82,74.85,516.08,3.89,102.66,4.34,82.24,73.57,1098.3,19.23,61.21,998000.0,1523.2,47.28,1228.8,1482000.0,25.68,0.8,0.74,12.82,25.68,36.75,13.47,4.62,57.72,512.0,29.22,150.9,65.26
Canada,2008,1.67,47426.0,1.89,36.52,0.92,77.03,78.27,5250.0,2.8,96.72,5.99,91.33,81.09,539.0,69.75,23.14,66015.0,532.98,37.24,512.0,1000000.0,18.2,0.9,0.95,9.32,21.03,30.96,6.82,5.4,65.97,762.4,75.78,15.39,59.64
China,2008,14.71,9790.0,2.46,1335.09,0.28,62.82,73.48,463.5,1.84,99.13,4.07,66.36,67.34,6956.4,29.49,249.78,2033600.0,9670.0,21.71,246.24,5155000.0,34.17,0.73,0.83,2.09,62.01,123.12,56.0,3.76,60.54,101.5,43.6,176.82,73.58
India,2008,2.85,2018.1,4.79,1439.34,1.01,36.26,69.4,71.1,0.89,77.26,3.17,42.88,41.0,1452.0,12.12,72.35,1425228.0,2424.0,23.66,241.0,5953100.0,22.22,0.63,0.64,20.98,10.97,29.18,59.04,7.75,51.5,250.5,41.12,145.6,67.98
Australia,2008,1.34,52523.0,1.46,25.62,1.28,86.34,82.98,5387.2,3.44,99.89,4.76,86.81,84.71,309.0,23.07,26.73,60262.0,406.72,15.31,603.6,857820.0,17.14,0.91,0.91,9.73,9.48,61.2,54.06,4.95,66.73,943.2,77.0,25.62,88.04
USA,2009,20.38,67600.0,2.21,337.29,0.57,83.17,76.49,11528.0,2.56,102.56,5.14,88.2,81.69,4032.0,16.66,702.72,1339800.0,5237.7,34.22,13802.0,6309600.0,12.46,0.97,0.96,10.77,80.96,210.32,43.25,3.61,63.0,299.1,66.65,46.71,68.41
Russia,2009,1.62,10758.0,2.97,145.29,0.1,76.66,74.05,506.1,3.87,103.06,4.38,85.43,73.72,1001.7,18.09,62.26,1050000.0,1673.6,47.09,1143.6,1437000.0,24.15,0.79,0.72,12.84,23.8,35.84,13.17,4.6,58.8,494.0,28.56,143.7,66.75
Canada,2009,1.75,44160.0,1.81,37.37,0.92,82.46,81.97,5229.0,2.79,103.45,5.92,94.86,84.91,530.75,69.21,22.42,67095.0,566.46,38.65,495.5,1040000.0,17.69,0.92,0.95,9.39,22.62,31.41,7.04,5.61,65.45,790.4,73.48,15.42,61.62
China,2009,14.3,9770.0,2.48,1441.34,0.3,61.08,77.16,447.75,1.78,93.22,3.99,67.34,66.64,6670.8,28.54,249.52,2099200.0,9670.0,21.41,240.48,4930000.0,34.85,0.8,0.83,2.04,62.53,124.44,56.16,3.46,61.93,104.6,40.28,174.7,70.56
India,2009,2.81,2190.3,4.7,1439.34,1.03,35.91,68.5,76.58,0.92,72.08,3.01,43.74,40.43,1435.5,12.59,71.71,1472880.0,2428.8,25.18,257.5,6029800.0,24.01,0.64,0.69,22.95,11.01,28.34,61.74,7.42,51.6,260.0,40.4,144.06,64.28
Australia,2009,1.37,54007.0,1.54,24.18,1.29,88.15,81.32,5309.2,3.44,98.41,4.81,94.09,82.3,296.1,22.75,26.32,58058.0,414.1,16.02,576.6,895230.0,16.42,0.98,0.98,9.86,9.82,60.6,54.7,4.81,63.36,864.0,80.16,24.95,94.21
USA,2010,21.86,64220.0,2.3,338.94,0.61,78.85,82.66,10835.0,2.51,98.9,5.0,90.6,86.02,4032.0,16.49,707.11,1387400.0,5110.2,33.4,13895.8,6811200.0,12.16,0.93,1.01,10.03,80.88,220.0,42.94,3.65,60.8,294.9,72.31,46.3,64.25
Russia,2010,1.63,10670.0,3.12,140.36,0.1,75.63,69.91,539.17,3.82,98.31,4.33,85.85,72.58,1021.65,19.74,59.11,970000.0,1561.6,48.61,1228.8,1543500.0,25.95,0.8,0.71,12.26,24.35,35.35,12.62,4.66,60.06,492.5,30.39,147.9,62.73
Canada,2010,1.82,46506.0,1.88,38.52,0.87,82.94,84.85,5370.75,2.84,98.31,6.08,91.33,86.4,565.95,68.34,22.8,64530.0,515.16,39.82,507.5,971000.0,17.62,0.89,1.0,9.22,22.2,30.6,6.73,5.44,62.98,766.4,71.85,16.58,58.38
China,2010,14.87,10470.0,2.5,1402.19,0.3,61.26,79.31,461.7,1.75,95.16,3.91,66.11,71.61,7058.4,29.46,259.17,2072550.0,9610.0,22.7,237.12,5180000.0,32.47,0.77,0.8,2.08,62.2,116.76,53.46,3.74,64.83,99.1,40.24,169.39,69.48
India,2010,2.86,2083.2,4.58,1322.04,0.98,34.48,66.14,69.42,0.87,71.85,3.16,46.76,40.63,1495.5,11.65,69.15,1422340.0,2289.6,24.74,242.0,5622700.0,23.16,0.68,0.63,21.57,11.41,27.55,61.44,7.43,52.05,243.5,41.32,145.04,69.04
Australia,2010,1.35,50880.0,1.5,25.0,1.25,83.76,81.06,5012.8,3.31,94.74,5.05,88.91,87.72,291.3,22.45,26.59,56608.0,413.28,15.38,593.4,901320.0,16.25,0.94,0.96,9.27,9.82,59.46,51.04,4.94,68.11,857.7,76.61,25.8,90.9
USA,2011,21.47,64220.0,2.32,329.35,0.62,82.25,81.71,10791.0,2.55,102.96,5.12,88.29,87.55,4090.8,17.61,764.21,1394400.0,4875.6,33.59,13976.2,6560400.0,11.98,0.93,1.03,10.79,82.4,221.76,42.28,3.76,61.17,299.4,66.03,44.46,65.19
Russia,2011,1.64,10593.0,2.96,138.47,0.1,76.66,76.08,546.52,3.84,99.1,4.31,84.42,76.84,1038.45,19.44,59.54,1035000.0,1640.0,47.38,1236.0,1516500.0,24.23,0.84,0.69,12.44,25.05,35.31,13.35,4.76,60.96,503.0,30.45,156.15,61.95
Canada,2011,1.74,47840.0,1.85,37.89,0.94,84.0,78.76,5475.75,2.97,95.34,6.06,90.02,79.43,539.55,64.99,21.32,69255.0,561.6,38.49,494.5,1035000.0,18.63,0.97,0.94,9.04,22.42,29.25,6.99,5.72,66.11,773.6,71.11,16.48,60.12
China,2011,14.66,10400.0,2.5,1428.76,0.31,57.66,72.87,460.8,1.73,93.22,4.18,66.89,70.21,6942.8,29.0,257.08,2097150.0,9870.0,22.77,232.08,4755000.0,34.61,0.77,0.79,1.91,68.25,114.24,54.32,3.56,65.9,97.5,43.72,168.33,75.38
India,2011,2.81,2158.8,4.85,1341.36,1.02,34.48,66.62,75.12,0.88,76.44,3.2,45.99,41.9,1429.5,11.41,71.85,1373244.0,2340.0,24.26,253.25,6035700.0,22.01,0.68,0.64,22.97,10.6,27.44,60.84,7.4,49.35,260.5,38.16,142.94,68.51
Australia,2011,1.33,50615.0,1.54,24.57,1.35,83.33,87.15,5168.8,3.29,94.45,4.78,88.36,87.98,298.5,23.74,27.11,57768.0,429.27,16.5,626.4,879570.0,17.43,0.94,0.93,9.38,9.66,60.54,55.44,5.04,63.43,899.1,74.61,25.2,92.28
USA,2012,21.9,66105.0,2.21,344.24,0.63,86.24,80.6,11066.0,2.72,103.55,5.07,89.0,87.47,4191.6,16.93,754.69,1415400.0,5156.1,32.34,14003.0,6883800.0,12.11,0.91,0.98,10.27,77.2,227.04,42.33,3.86,62.18,297.3,66.58,42.98,69.41
Russia,2012,1.63,10549.0,3.0,151.09,0.1,70.67,75.29,525.0,4.15,98.21,4.48,80.3,73.72,1085.7,18.14,62.63,972000.0,1601.6,46.7,1227.6,1446000.0,26.18,0.8,0.71,12.06,24.75,33.7,13.12,4.71,59.4,503.0,29.28,154.95,62.59
Canada,2012,1.8,44574.0,1.99,36.37,0.9,80.35,85.18,5297.25,2.81,101.47,6.13,91.88,86.32,542.85,67.54,23.14,69997.5,540.0,39.14,494.5,1006000.0,18.54,0.96,0.95,9.85,21.63,31.05,6.94,5.43,65.97,808.0,72.82,15.84,58.56
China,2012,13.97,9980.0,2.4,1389.61,0.29,59.94,79.84,472.5,1.71,96.13,4.08,67.02,68.25,6983.6,30.45,256.82,2056150.0,10200.0,21.34,245.04,5205000.0,32.88,0.79,0.85,1.93,62.59,122.52,54.16,3.58,64.76,98.6,40.57,171.51,70.78
India,2012,2.98,2127.3,4.58,1312.38,1.02,36.58,71.14,72.78,0.87,76.29,3.15,43.34,41.04,1521.0,12.29,71.71,1464216.0,2491.2,24.72,252.0,5858700.0,22.91,0.65,0.69,21.92,11.0,28.95,62.46,7.75,51.25,256.0,40.24,140.0,63.36
Australia,2012,1.29,51728.0,1.45,25.68,1.3,85.05,82.23,5210.4,3.25,99.89,5.13,95.55,84.54,292.8,22.89,28.77,55680.0,427.22,15.36,579.6,897840.0,17.19,0.98,0.97,9.99,9.05,60.36,53.8,5.09,65.27,908.1,77.85,24.88,96.14
USA,2013,21.17,63830.0,2.18,327.36,0.6,84.0,76.57,11319.0,2.65,96.72,4.77,87.93,82.62,4124.4,17.19,723.22,1446200.0,5135.7,33.03,14003.0,6520800.0,12.4,0.88,1.02,10.97,78.56,222.2,44.53,3.59,61.61,288.0,71.28,46.26,66.53
Russia,2013,1.56,10934.0,3.08,151.24,0.1,74.22,71.37,543.38,3.86,95.34,4.21,81.48,76.61,1060.5,18.2,62.63,984000.0,1654.4,49.73,1177.2,1558500.0,25.93,0.79,0.75,12.44,25.57,33.6,12.92,4.73,57.12,502.0,31.23,149.55,62.73
Canada,2013,1.79,45448.0,1.89,37.92,0.91,84.0,79.75,5029.5,2.95,99.5,5.78,95.98,85.41,539.55,67.6,23.43,66690.0,545.94,38.42,491.0,1027000.0,18.79,0.96,0.96,9.83,22.99,29.4,7.03,5.48,65.78,830.4,72.0,16.32,58.62
China,2013,14.44,10360.0,2.29,1393.81,0.3,57.9,76.47,462.15,1.81,93.61,4.1,62.59,67.69,6466.8,29.84,265.96,2127900.0,10020.0,22.2,251.28,4940000.0,32.84,0.74,0.78,2.01,62.85,125.04,56.43,3.54,64.83,103.5,44.02,182.13,71.86
India,2013,2.96,2106.3,4.82,1348.26,1.01,35.95,70.79,69.86,0.9,71.26,2.96,43.88,41.12,1429.5,11.42,72.7,1418008.0,2510.4,22.97,238.75,5734800.0,23.74,0.64,0.65,21.66,10.89,27.33,59.7,7.79,51.85,260.5,40.28,141.26,67.39
Australia,2013,1.3,53795.0,1.55,26.23,1.3,83.59,83.65,5101.2,3.41,94.45,4.71,93.91,81.79,292.5,23.44,26.51,56260.0,394.01,15.26,583.2,864780.0,16.44,0.97,0.98,9.35,9.62,58.2,50.56,5.23,68.84,933.3,73.46,25.8,87.86
USA,2014,21.49,68120.0,2.21,319.08,0.61,82.58,76.57,11275.0,2.69,100.78,5.24,92.65,84.06,4237.8,16.66,752.5,1344000.0,5253.0,32.93,13266.0,6276600.0,12.16,0.92,0.97,10.44,78.0,225.28,43.78,3.72,65.27,313.2,71.55,47.16,69.75
Russia,2014,1.57,11319.0,2.98,140.07,0.1,75.18,73.62,547.58,4.17,100.48,4.35,88.2,77.29,1002.75,18.41,64.35,995000.0,1588.8,50.03,1201.2,1522500.0,26.07,0.8,0.73,12.3,25.23,33.84,12.39,4.72,57.78,520.5,29.49,148.2,63.51
Canada,2014,1.74,44574.0,1.83,37.26,0.86,78.97,85.35,5150.25,2.94,95.63,5.81,91.61,85.91,532.4,67.27,22.13,69930.0,556.74,36.29,493.5,1040000.0,17.21,0.92,0.93,9.64,22.09,28.5,6.9,5.71,65.84,790.4,73.41,15.73,59.28
China,2014,14.24,9950.0,2.34,1349.07,0.31,58.92,80.46,447.75,1.73,100.98,3.84,63.12,73.29,6664.0,29.0,257.35,2125850.0,9790.0,21.03,236.16,4775000.0,33.49,0.74,0.8,2.02,65.33,123.24,55.62,3.52,60.23,104.6,40.53,185.32,69.84
