Date,Asset,Price
2023-03-10,Commodity A,309.67
2023-03-28,Bond B,363.99
2023-04-11,Stock B,52.74
2023-01-08,Stock A,95.42
2023-11-29,Commodity A,441.02
2023-07-19,Bond A,356.79
2023-03-28,Bond B,100.82
2023-02-12,Stock B,428.93
2023-04-19,Stock A,159.0
2023-06-01,Bond A,265.22
2023-01-17,Stock B,115.34
2023-05-13,Stock B,369.55
2023-05-28,Bond A,350.08
2023-10-04,Stock A,145.0
2023-08-20,Stock A,438.53
2023-11-10,Commodity A,230.59
2023-08-16,Bond B,181.63
2023-05-19,Bond A,118.55
2023-07-30,Bond A,169.78
2023-01-28,Bond A,59.91
2023-02-20,Stock A,312.47
2023-09-18,Bond B,429.0
2023-09-18,Commodity A,297.04
2023-12-16,Stock B,148.67
2023-12-18,Stock B,65.15
2023-01-08,Bond A,146.58
2023-11-16,Bond B,237.25
2023-05-18,Stock A,391.83
2023-02-07,Bond B,134.53
2023-04-21,Bond B,373.91
2023-08-08,Stock A,440.12
2023-12-03,Bond A,254.28
2023-08-11,Bond B,419.64
2023-05-16,Stock B,299.6
2023-09-13,Stock A,336.69
2023-12-26,Commodity A,286.83
2023-11-25,Bond A,258.43
2023-02-18,Stock A,155.59
2023-10-19,Commodity A,186.44
2023-11-20,Commodity A,180.49
2023-03-19,Bond B,303.48
2023-04-15,Bond B,103.98
2023-06-18,Bond B,462.56
2023-08-05,Stock A,374.29
2023-04-29,Stock A,230.65
2023-07-09,Bond A,121.38
2023-09-12,Bond B,446.9
2023-09-23,Commodity A,420.7
2023-05-29,Stock B,374.77
2023-06-13,Bond A,172.2
2023-05-20,Stock A,231.1
2023-12-13,Bond A,96.24
2023-09-15,Bond A,135.07
2023-09-26,Bond A,402.36
2023-06-30,Bond A,371.77
2023-06-09,Stock B,317.07
2023-12-17,Bond B,453.08
2023-10-15,Commodity A,312.47
2023-10-15,Bond A,260.14
2023-08-14,Bond A,203.17
2023-01-11,Bond A,473.2
2023-01-10,Bond B,87.22
2023-09-28,Stock A,468.9
2023-09-30,Stock A,422.02
2023-07-02,Stock B,108.47
2023-06-02,Stock A,304.24
2023-11-11,Bond A,439.95
2023-11-30,Bond A,307.31
2023-05-04,Bond A,458.24
2023-04-24,Stock B,474.34
2023-10-05,Bond A,240.07
2023-08-01,Stock A,219.79
2023-06-21,Bond B,471.34
2023-10-15,Bond B,353.81
2023-06-23,Commodity A,102.21
2023-04-23,Stock A,69.03
2023-05-02,Bond A,304.08
2023-02-01,Bond B,468.58
2023-08-10,Stock A,429.91
2023-04-29,Bond B,354.13
2023-02-08,Bond A,112.6
2023-09-25,Bond B,164.4
2023-08-21,Commodity A,443.98
2023-01-18,Commodity A,132.26
2023-05-29,Bond B,175.3
2023-05-29,Stock A,108.32
2023-05-06,Stock A,354.25
2023-10-29,Stock A,474.79
2023-12-26,Bond B,171.04
2023-08-26,Stock A,263.93
2023-05-15,Bond A,335.45
2023-05-31,Commodity A,499.76
2023-08-24,Bond A,97.16
2023-08-12,Stock A,274.36
2023-07-22,Bond A,223.3
2023-09-13,Stock A,439.62
2023-03-27,Bond B,264.19
2023-05-30,Bond A,99.94
2023-08-23,Bond B,335.49
2023-12-11,Bond B,396.85
2023-01-22,Stock B,51.3
2023-12-14,Stock A,436.53
2023-10-12,Commodity A,133.71
2023-09-26,Stock A,298.43
2023-09-15,Commodity A,237.11
2023-01-29,Stock A,373.84
2023-08-01,Bond B,217.02
2023-10-10,Bond A,441.39
2023-02-19,Bond A,378.72
2023-04-05,Stock B,341.47
2023-03-29,Commodity A,408.31
2023-02-13,Commodity A,389.31
2023-10-05,Commodity A,66.17
2023-06-20,Bond B,227.63
2023-07-08,Commodity A,468.86
2023-12-19,Bond A,106.58
2023-07-03,Bond B,381.69
2023-01-03,Stock A,488.57
2023-07-10,Commodity A,73.49
2023-04-28,Commodity A,356.99
2023-01-19,Stock A,260.67
2023-01-23,Commodity A,310.63
2023-01-30,Stock A,88.4
2023-10-22,Bond B,69.35
2023-04-18,Bond A,350.09
2023-10-08,Stock A,420.49
2023-05-08,Stock B,401.91
2023-08-17,Stock A,294.71
2023-04-21,Commodity A,94.94
2023-05-16,Bond B,359.62
2023-12-28,Bond B,158.85
2023-07-05,Stock A,459.98
2023-05-24,Bond A,427.22
2023-03-13,Stock B,369.22
2023-05-09,Bond B,476.98
2023-12-30,Commodity A,64.14
2023-09-18,Commodity A,381.29
2023-01-03,Bond A,198.61
2023-04-14,Bond B,457.73
2023-08-12,Stock A,170.0
2023-11-16,Commodity A,376.19
2023-12-28,Bond A,444.94
2023-12-20,Bond B,68.75
2023-01-10,Bond B,228.94
2023-10-29,Bond B,393.04
2023-08-19,Bond B,254.71
2023-08-07,Bond B,170.26
2023-03-07,Commodity A,148.91
2023-04-22,Bond A,109.18
2023-01-13,Bond B,435.71
2023-03-27,Stock B,308.91
2023-08-22,Stock B,84.37
2023-03-31,Bond A,222.16
2023-11-10,Stock A,215.48
2023-02-23,Stock A,131.78
2023-01-12,Stock A,245.98
2023-07-28,Stock B,199.44
2023-01-14,Stock A,203.81
2023-05-01,Commodity A,382.56
2023-01-20,Bond B,150.47
2023-03-16,Stock B,338.84
2023-08-31,Bond A,306.79
2023-08-11,Bond A,305.64
2023-03-11,Bond B,348.35
2023-11-08,Stock B,296.77
2023-07-30,Stock A,445.66
2023-04-11,Stock A,354.01
2023-07-05,Commodity A,296.13
2023-05-12,Commodity A,423.39
2023-04-21,Stock A,322.77
2023-05-12,Bond A,181.01
2023-01-20,Bond A,143.19
2023-01-24,Commodity A,118.55
2023-08-15,Bond B,454.75
2023-06-03,Stock A,369.56
2023-10-20,Commodity A,471.82
2023-08-18,Commodity A,321.48
2023-11-06,Stock A,263.03
2023-12-25,Stock A,76.87
2023-07-21,Bond A,352.24
2023-02-07,Bond B,311.99
2023-09-17,Bond B,495.59
2023-07-07,Stock A,157.62
2023-02-26,Stock B,288.83
2023-01-20,Commodity A,342.93
2023-09-30,Commodity A,340.07
2023-04-29,Stock A,302.58
2023-03-12,Stock B,399.62
2023-01-04,Bond A,142.24
2023-08-09,Stock A,376.53
2023-01-14,Stock A,328.88
2023-01-03,Commodity A,453.23
2023-08-04,Stock A,431.24
2023-08-17,Stock A,191.82
2023-12-02,Stock A,174.31
2023-07-05,Commodity A,491.74
2023-02-24,Bond A,287.27
2023-09-11,Bond A,457.89
2023-01-24,Stock A,123.75
2023-06-11,Commodity A,339.27
2023-06-07,Bond A,414.44
2023-03-23,Bond A,476.33
2023-06-08,Bond A,201.8
2023-07-07,Commodity A,376.24
2023-03-01,Commodity A,292.47
2023-11-01,Stock A,77.28
2023-11-15,Bond B,360.5
2023-07-30,Bond A,360.54
2023-06-01,Bond B,468.77
2023-04-19,Commodity A,273.79
2023-03-17,Commodity A,153.61
2023-01-30,Commodity A,70.05
2023-11-10,Bond B,237.04
2023-04-27,Commodity A,185.86
2023-12-22,Stock A,392.49
2023-07-11,Commodity A,209.42
2023-01-19,Stock B,477.08
2023-06-22,Bond B,483.04
2023-08-16,Stock B,329.41
2023-12-16,Commodity A,467.9
2023-07-02,Stock A,392.38
2023-04-23,Bond A,296.09
2023-07-02,Commodity A,131.14
2023-05-26,Stock A,256.37
2023-11-15,Bond B,302.39
2023-04-26,Stock B,438.78
2023-04-23,Stock B,266.6
2023-09-08,Stock B,453.95
2023-09-08,Bond B,353.46
2023-10-30,Stock A,111.65
2023-11-09,Bond B,497.74
2023-04-28,Stock B,287.25
2023-10-28,Commodity A,226.34
2023-06-10,Bond A,346.6
2023-07-17,Bond B,99.0
2023-09-17,Bond B,336.44
2023-05-28,Stock A,274.21
2023-08-28,Stock A,233.0
2023-02-16,Bond B,478.86
2023-07-17,Stock B,285.14
2023-02-16,Bond A,148.6
2023-03-19,Stock A,256.53
2023-05-04,Stock B,463.72
2023-03-16,Commodity A,129.24
2023-12-25,Stock A,146.28
2023-05-17,Stock B,55.86
2023-03-31,Stock B,56.39
2023-11-21,Bond A,423.23
2023-03-02,Bond A,379.46
2023-05-18,Commodity A,209.77
2023-02-19,Stock B,364.24
2023-09-16,Stock B,227.84
2023-04-17,Bond A,478.8
2023-04-23,Stock A,485.17
2023-12-16,Stock A,226.76
2023-09-11,Bond B,434.4
2023-04-28,Bond A,397.89
2023-07-17,Bond B,189.5
2023-12-03,Bond A,154.42
2023-12-31,Commodity A,256.21
2023-02-20,Stock B,401.61
2023-09-02,Commodity A,482.08
2023-02-04,Bond A,393.61
2023-10-29,Stock B,434.84
2023-03-10,Stock A,321.38
2023-12-15,Stock A,425.93
2023-11-16,Bond B,402.99
2023-02-18,Bond A,219.64
2023-03-15,Bond A,298.4
2023-07-11,Stock A,412.14
2023-09-18,Commodity A,70.73
2023-12-22,Stock B,413.64
2023-03-11,Commodity A,130.05
2023-03-31,Commodity A,281.61
2023-09-17,Stock A,413.72
2023-05-06,Stock A,164.22
2023-08-19,Stock A,160.61
2023-10-22,Bond B,231.24
2023-05-09,Commodity A,452.59
2023-10-07,Bond A,50.2
2023-11-09,Stock B,455.62
2023-04-10,Bond B,119.21
2023-11-22,Bond A,495.54
2023-10-24,Commodity A,479.68
2023-07-01,Stock A,272.6
2023-06-23,Commodity A,280.72
2023-11-12,Stock B,266.7
2023-12-30,Bond B,335.95
2023-07-07,Bond B,90.82
2023-02-26,Stock B,64.68
2023-01-31,Bond A,75.97
2023-03-25,Bond A,249.96
2023-06-01,Bond B,174.0
2023-02-05,Bond B,329.92
2023-08-01,Stock A,496.6
2023-12-30,Bond A,223.85
2023-04-16,Stock B,308.23
2023-12-08,Bond A,237.02
2023-08-08,Stock A,431.27
2023-06-12,Bond B,456.01
2023-08-08,Bond B,444.81
2023-09-27,Stock A,488.47
2023-04-30,Stock B,62.38
2023-12-02,Bond B,427.92
2023-07-01,Commodity A,388.3
2023-04-16,Bond B,152.91
2023-08-05,Commodity A,480.34
2023-07-24,Stock A,116.68
2023-03-11,Stock A,355.8
2023-02-13,Bond B,151.2
2023-11-25,Bond A,244.12
2023-10-28,Commodity A,373.62
2023-08-16,Stock B,303.5
2023-07-03,Bond B,242.38
2023-04-17,Stock B,196.85
2023-03-25,Bond B,427.85
2023-12-04,Bond A,114.72
2023-09-07,Bond A,243.55
2023-12-29,Bond A,456.69
2023-01-21,Bond A,430.63
2023-07-15,Stock A,230.42
2023-06-27,Stock A,393.4
2023-01-07,Commodity A,420.42
2023-03-11,Stock B,450.0
2023-05-07,Bond B,295.03
2023-06-09,Bond B,142.01
2023-09-05,Stock A,164.89
2023-07-22,Bond B,183.06
2023-05-28,Stock A,317.21
2023-05-23,Commodity A,64.76
2023-07-18,Stock B,336.22
2023-06-03,Commodity A,213.96
2023-05-22,Bond A,182.86
2023-11-09,Bond A,445.77
2023-06-14,Bond A,257.0
2023-11-10,Commodity A,92.77
2023-01-21,Bond B,422.04
2023-03-23,Stock B,71.44
2023-03-10,Bond A,377.04
2023-05-11,Bond A,398.26
2023-03-28,Bond A,208.67
2023-08-06,Stock B,421.15
2023-11-01,Bond A,282.05
2023-12-11,Stock B,258.48
2023-12-07,Bond A,70.43
2023-06-10,Commodity A,180.51
2023-06-27,Commodity A,468.95
2023-04-27,Stock B,226.32
2023-07-15,Commodity A,296.02
2023-11-23,Stock B,289.41
2023-03-27,Commodity A,315.69
2023-10-16,Commodity A,77.6
2023-03-22,Stock B,212.98
2023-06-01,Bond B,375.41
2023-03-02,Commodity A,140.25
2023-03-02,Bond A,141.61
2023-12-20,Bond B,54.54
2023-01-28,Stock B,246.87
2023-02-12,Bond B,447.23
2023-06-18,Stock A,73.36
2023-03-27,Stock A,136.0
2023-06-26,Commodity A,189.54
2023-01-17,Commodity A,379.28
2023-04-08,Bond A,338.29
2023-07-17,Bond B,237.17
2023-04-08,Stock A,391.58
2023-03-06,Commodity A,324.33
2023-11-26,Bond B,453.22
2023-12-07,Commodity A,418.11
2023-01-05,Commodity A,163.77
2023-01-02,Stock A,172.15
2023-01-22,Stock A,106.41
2023-04-22,Commodity A,201.63
2023-02-26,Stock B,499.79
2023-03-07,Commodity A,232.59
2023-11-26,Commodity A,149.22
2023-04-08,Bond A,393.12
2023-05-24,Bond A,294.11
2023-05-05,Bond A,117.32
2023-06-16,Stock B,221.31
2023-03-27,Stock B,236.51
2023-03-17,Commodity A,389.22
2023-12-10,Bond A,59.3
2023-10-21,Stock B,171.06
2023-02-28,Stock A,282.92
2023-05-18,Commodity A,170.98
2023-04-09,Bond B,332.8
2023-07-11,Commodity A,266.84
2023-08-31,Bond B,212.77
2023-11-15,Bond A,477.14
2023-02-18,Bond B,334.47
2023-02-01,Bond A,108.47
2023-10-04,Stock A,302.04
2023-01-20,Bond B,401.33
2023-06-03,Commodity A,368.82
2023-03-09,Bond A,127.44
2023-08-02,Commodity A,487.59
2023-05-23,Stock B,251.97
2023-08-20,Bond A,121.56
2023-08-01,Bond B,131.09
2023-03-20,Bond A,94.21
2023-08-02,Commodity A,411.58
2023-04-26,Stock A,104.91
2023-04-02,Bond A,106.31
2023-09-27,Bond B,432.71
2023-06-17,Stock B,205.07
2023-02-27,Stock A,63.89
2023-10-11,Stock B,73.35
2023-01-26,Bond A,113.98
2023-03-07,Commodity A,146.03
2023-09-05,Commodity A,349.32
2023-09-11,Bond B,120.8
2023-02-13,Commodity A,103.49
2023-04-07,Stock A,394.12
2023-02-11,Commodity A,351.97
2023-08-15,Bond B,245.9
2023-09-19,Bond A,297.19
2023-06-16,Bond A,190.39
2023-10-06,Commodity A,267.13
2023-03-30,Stock B,278.0
2023-06-27,Bond A,224.26
2023-07-16,Commodity A,457.96
2023-11-03,Bond B,57.23
2023-09-24,Commodity A,401.98
