text,sentiment
egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess,negative
visiting my friendster and facebook,neutral
i donbt like to peel prawns i also dont like going shopping running out of money and crawling round the car looking for more,negative
 which case I got a new one last week and Im not thrilled at all with mine,negative
 Then you should check out  and connect with other tweeple who hate twitter,neutral
 also bored at school its my third freelesson freistunde ,neutral
 hm Both of us I guess,neutral
 it is u have dissappointed me that past few days,negative
 romance zero is funny,positive
 Id rather do the early runbut I am a morning runner,neutral
Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,negative
will be back later  ,neutral
Aw Torn ace of hearts  Hunchback,negative
 what fun are you speaking of,neutral
i lost all my friends im alone and sleepyi wanna go home,negative
 haha yes,neutral
I give in to easily,negative
What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine Our wine was a red,positive
mannnn  got an iphone im jealous  ,negative
Is at a photoshoot,neutral
  Hes awesome Have you worked with him before Hes a good friend,positive
Yay playing a show tonight Boo its gonna soggy and Im at work right before playing,neutral
Chilliin,positive
 If you know such agent do let me know,neutral
I still smell of smoke  kitchenfire,neutral
 a celticslakers rematch sounds better dont you think lol,positive
Anyone have an extra Keane ticket I promise to buy you a drink and take rad pics for your FB  Blog  Flickr etc,neutral
you can ride one you can catch one but its not summer til you pop open one  ,neutral
 she is good so gorjuz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,neutral
OK  Im out of here for now Just popped in to say Hi and check on things Ill probably head to the guttah later on tonight,neutral
WOW i AM REALLY MiSSiN THE FAMiLY TODAY BADDD,negative
 My sources say no,neutral
I am sooo tired,negative
 Hey you change your twitter account and you didnt even tell me,neutral
 THANK YYYYYYYYYOOOOOOOOOOUUUUU,positive
 lucky kidi so wanna see loserville  pity im in oz,positive
fell asleep waiting for my ride,neutral
Sick With a flu like thing,negative
Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response sorry guys,negative
Happy Star Wars day everyone and Enjoy the holiday UK,positive
 Miles from you   Im in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers,neutral
His snoring is so annoying n it keeps me from sleeping like right now lol but I honestly wud miss it if it eva left  I love him,neutral
i miss you bby      wish you were going tomorrow to make me do good,negative
 Well what im working on isnt QUITE ready to post about publicly still beta testing but its a cool new script I coded,positive
 SWEEEEET  San Fran is awesome  Love it there,positive
Mounce yes and it lasts way past my bedtime,neutral
 Hi  how are you doing   just joined twitter,neutral
waiting for sleeping pills to kick in gonna be so tired at work tomorrow,negative
eating ice cream and then getting ready for graduation,neutral
Happy Mothers day to all you Mums out there,positive
 CASEYS GONE BUT WHY So she piddled a little on the carpet Shes prolly freaked cause its new Can we get her back,negative
 hemp cloth is marvelous but unfortunately no,negative
Gonna read a story bout adam lambert online then bed Nighty night,neutral
 We saw that in none   the baddies the best,positive
 And Im on the beach Pretty,positive
 Certainly not Cheers than huh,neutral
 week post myhorrible traumatic jumping cholla accidentchollas next dirty trickpieces are starting to emerge from my hand Ouch,negative
i realy wanted to go out cause its so nice but everybodys busy,negative
 Awesome  Im down in Ocean Beach if you know where that is By the way YourBiggestFan Im a real big fan of yours,positive
at least I get to watch over time  Lets go Pens,neutral
 cool i wear black most of the time when i go out,neutral
 haha I do not know how to work blip apart from the obvious thanks for reblipping my song  have a nice day ,positive
 have a safe trip joshy pooyoull knock them dead at your speech,positive
 woof I wish I was allowed to go,positive
if u have a friendster add me        my email adress      add me          add me leave some comment,neutral
  has tickets,neutral
Thank you Afrin Nasal Spray Also I got a giant teacup tonight,positive
 ACSM its unfathomable  i think the other one  and the  is one that should be kept to the comfort of our bedrooms yes,neutral
Aww I love my daddy He works  days a week almost all day and still tries to go to SF with all of us,positive
So many tests todayyy  I dont feel confident about anyy,negative
graduation is done  im a little sad anyone want to hang out,negative
 hahaa your awesomee ,positive
holy smokes star trek was freaking awesomeeeee,positive
I hate Fallout  it keeps making me jump Im also low on health money ammo and food  dont worry Ill get through it,neutral
 I had it On my itunes but then I lost all my songs,neutral
Whats with the gloomy weather The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,neutral
Not looking forward to next week Maths Geography English and French exams totalling  hours,negative
 Poor you  Get outside and sleep in the garden the sun will do you good But dont forget suncream,negative
not well,negative
 Not a prob hun,positive
at dads watching some mtv and am going on  in a minutee,neutral
 Absolutely,neutral
 whats the matter chickadee,neutral
 hey mia  totally adore your music  when will your cd be out,positive
Shopping Cleaning BMFing Webcam chatting with nephews Nothing spesh but a good bank holiday Monday nonetheless,positive
 O you need to ask him something Lmao I love him too,positive
 those splinters look very painfulbut you were being very heroic saving mr Pickle,negative
 why are you sad,negative
 Nice to see you tweeting  Its Sunday  May and were celebrating Mothers Day here today So be nice to yer Mom,positive
decided  trans frm relaxed  natural hair but i wish my whole head looked like my roots  Age of the instant gratification,positive
 Namaskar  Namaste r both the same Marathi people say Namaskar its a marathi word should i  naaaah ,neutral
 Congrats  I cuss like that in a matter of minutes But didnt know until now there is a reward for it,neutral
Humous and Doritos Oh yes,neutral
missed all the awesome weather because she was in a movie,negative
Today is going to be a normal day for I hope We had a group of pilots from a large airline come in last night so it was too much drink,neutral
These kids are terrible If I was in Good Evans Id call Childline,negative
Unfortunatley AerLingus no longer fly to Copenhagen so were have to fly Ryanair to Billund and drive up to Copenhagen one of the days,negative
 Whats sad is that I actually had to google that term That sucks tho,negative
Hate fighting,negative
 I watched that too I didnt want her to win but she put up a good fightlol,neutral
Carwarmed Sprite tastes like sore throat,negative
Just came  in cross country and beat dumbo,neutral
Candle wax is very enjoyable,positive
 Shes unassuming and unpretentious Shes just as I suppose thats why shes so endearingbecause we can relate to her,positive
tomorrow valerias lunch going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it,neutral
goooooddd morning tweets  week three OF my workout did i mention i got my new glasses yesterday,positive
 me too I hate my computer so much,negative
 fine Going to do my big walk today  or so miles,positive
I WANT RED CRUISERS  i dont like the other ones LMFAO,negative
Mmmmmmmm  it in the morning,neutral
 me neither,neutral
Has about  hours work to do on a Sunday Boo I will find time for a two hour lunchbreak though Yeah,neutral
Bugger forgot I still have washing in my machine,negative
Laurie sending love blessings  healing thoughts to you  family  peace,positive
My back hurtsreally bad,negative
 ah yes I know that feeling,neutral
Night of the cookers with my dad,neutral
My modem has been offline for a week now God bless the  network Tim just left Again May schedule has been brutal,negative
 Nope I am in Coquitlam,neutral
 Had parent teacher thing yesterday So boring going to skl on saturday  lol,negative
  lichfield tweetup sounds like fun  Hope to see you and everyone else there,positive
Big booming thunder storm almost here  Maybe we can all go home early  Ah probably not,neutral
Few Bevvies  in twngreat on a day off,positive
first night in myers just not the same wout lydia  but im actually excited about this summer,positive
 good morning,positive
 its the best show EVER,positive
URL in previous post to timer job should be  Id removed space which messed up URL  ES,negative
i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha L ,neutral
 I want to know when the auditions are Mander Text orreply please,neutral
or even NOOOOO NOT THE SECRET NAMEREBECCA PLEASE,negative
 I miss my neice  cant wait to see her bad n grown  Lol,negative
i need to get my computer fixed,neutral
really hopes her cars illness is not terminal,negative
All the cool people I want to find for following today are English and I guess the English dont tweet,neutral
 no siri woulda put honeybut i dont have any,neutral
who watched Xmen origins wolverine i totally loved it haha,positive
 I VOTED do u have a personal myspace i keep talking to fakes   i  you u helped me thru the hrdest time of my life  x,positive
 Im sad that I missed you guys last night,negative
Finally got a call for marriage counseling  days late,neutral
 ok then,neutral
 why baby,neutral
today was the last day of high school for me and i ended up going home sick  stupid dead rats,negative
Were having an impromptu pool party Except I dont know how to swim so I cant get in,neutral
lost my tooth  whilst i was eating gumoww,negative
happy  year ,positive
Oh I HELLA forgot to say my official good morning  Like to hear it Here it go Goooooooooooood Morrrrrrrrning Twitterville Lol,positive
 phew  Will make a note in case anyone else runs into the same issueÃ¯Â¿Â½,neutral
  WHAT ABOUT ME   I VOTE EVERY DAY FOR YOU ,negative
Im starving This diet is killing me but I cant eat after ,negative
 i talk to you,neutral
im soo boredim deffo missing my music channels,negative
 nite nite bday girl  have fun at concert,positive
Had nicotine replacement patch on for  hours So far so good but I did sleep for most of those  hours Getting a bit twitchy now,neutral
Sanderson Whats with Twatter lately  Either I cant get on or the replies dont turn up,neutral
should be sleeping  lost my voice a couple day ago,negative
   hate when my PARKED car gets hit,negative
 Ive heard this fall Im waiting too,neutral
 more nightmares  huggles,neutral
I AM SUCH A CREEPER  I feel disappointed because of it  my cyberstalking skills   the internet  no more privacy,negative
going to bed its late and I have headache,negative
happy mothers day to all moms out there,positive
Grabbing coffee from  then making mom breakfast,neutral
im thinking that im going to have fun tonightand maybe some changes are coming,positive
 thanks before the major chop,neutral
 Haha I know I cant handle the fame  and thank you,positive
just got up and updated my ipod,neutral
 yes sober HAHAHA tanghaling tapat dude haha WILD i dont knowwww  plan plan  before you go to US,positive
 We never miss ICarly  my son has a huge crush on Miranda,positive
Saw James carville in the store today His head is really that bald,neutral
yellow for    ,neutral
 which means youre just going to have to come back to vancouver and have it our way hahah,neutral
Feeling smooth like chrome,positive
Ew traffic,negative
downloading songs while trying to sneak a lil homework in too which should be my main priority not songs lol,neutral
RaRa your not alonei need coffee too,neutral
 Sounds like me,neutral
Bad day  The day you realize what mess youve put me through will be one of the happiest days of my life,neutral
Walking to class I hate not having a bikeespecially mine,negative
nesmith,neutral
failed inspection Did you know you can pass wooven but not woantitip bracket which is only sold woven This is worse than taxes,negative
JONAS BROTHERS  Live to party                Its rocking so hard     I love the song,positive
happy mothers day to all the mothers in the world,positive
 through the   Google Wave demo that looks a lot of fun would love to test it though  ,positive
Sleepy Tabz is heading to bed  Fun night Listened through the next episode of Jossd,positive
The exception for a short dude Larenz fineass Tate yum,neutral
Screw the reviews I thought Wolverine was awesome But not enough Dominic Monaghan for my liking,positive
If you followed us recently PLEASE dont be offended that we havent followed back We hit our limit   Hopefully we will be free soon,positive
 Yes i work  to ,neutral
 Hmmm maybe thats what they meant They eluded to something brand new but you know how the media is,neutral
Done at the spa   now meeting vic for some late lunch,neutral
Happy monday  up and about going to tavares today Hope everyone has a blessed day,positive
 Always have wanted to go to Oz,neutral
 Thx,neutral
   Cool luv it,positive
  thats why I need to be thereTo represent the Blackberries,positive
Okay so Im dedicating my  tweet to the fact that Im going to the Apple store because there is a HUGE crack on the glass screen,neutral
 If only we could ever actually be allowed to stay here and do that,neutral
 Let me know how that turns out,neutral
 was that sass I detect  As long as it isnt back sass Haha,neutral
 yeah I was thinking about that ahaha,positive
 Sports Bar Shatranjanpoli Rest Ph  All Sports Bar Andheri W  Dont know whether that helps Google ki jai ho,neutral
Im not sleeping at all until  accepts my appology,negative
Wolverine Was BOSS Seriously And WillIAm Was In It What The  ,negative
 I live for pain bring it on,neutral
okay im out for a while  back later,neutral
  powerblog What is this powerblog challenge you keep talking about  Im a newbie follower,neutral
almost died Laptop screen was set to  brightness after I reinstalled Windows Vista Got a headache now  insanedefaults,positive
Waiting for tish to get off Got to drive my moms CRV to pick her up all my myself and duckie First time,neutral
Trying to decide on a movie with the friends not going to well lol p  No bible study  which means day cake  buy my own,negative
going to shower because i dont want to smell at school tomorrow,neutral
 Sigh you know I am,neutral
discovered cause of a bug in the new NetPLAYER  build Publishing bug fix now hopefully new beta by tomorrow,positive
Here are  FREE twitter tools will get you followers     ,neutral
just got home from work and is chugging down a big bottle of apple juice,neutral
 Yes it does Please dont go If you die I will cry which normally leads to small animals getting harmed,negative
writing report cards  soooo tired but what an amazing day check it out on fb soon,positive
 it was only once for my big brotherand Im done now,neutral
good news finally finished my EASactive workout that has been paused for  hours bad news my resistance band is torn,neutral
Well good morning all What a wonderful day in the neighborhood  Thanks for all those that are now following another  this morning,positive
FTSK and Mercy Mercedes were amazing tonight as always,positive
  hope he is ok,positive
cant school just be done already it hurts too much seeing him every day,positive
I waited listening to wind blowing through the tumbleweed Are none of you old enough to know what to do when someone says Crackerack,neutral
 Hell Yeah,neutral
 HIM shirt at dinner Do you need to ask  Does it actually have Ville on it,neutral
 i know,neutral
 huh what the  Smelly Noooo I love alex Vixon,neutral
Went to a party last night Dindin and I showed up in matching outfits  GREAT MINDS THINK ALIKE  Anyway happy birthday ate lara,positive
 Happy bday Just woke up on this side of Earth so wishes are bit late,positive
thank you for teaching me values and to be a better person each day  I LOVE SO MUCH YOURE THE BEST MUM IN THE WORLD,positive
HAPPY MOTHERS DAY,positive
 laughs Im glad that you have self confidence  its a wonderful trait to have  Ill applaud extra loud for it okay,positive
  Thanks,positive
twittering after  days,neutral
Getting ready for week  Its too nice today to be stuck inside working,positive
I am tres depressed,negative
Felt like  behaved like my son ate to compensate Pigged out on homeroasted sugar almonds Painful tum threw up still feel sick,negative
Happy Mothers Day people i love my mom a lot still,positive
 Im sorry to hear that,negative
 Thats awesome dude yay for surprise celebrities  I got to meet him a few years ago he was soooo friendly,positive
 it makes me happy to hear a girl talk or tweet about the nba but could you give my nuggets some love,positive
Is getting the hang of Twitter,neutral
You know your neck is jacked up when you are forced to pay for parking bc you cant turn you head to parallel park in the free spaces,negative
I want it BACK NOW ,neutral
Going to miss my roomie  We will no longer be roomies starting tomorrow,negative
bathing with two little angels Keyla and Janice,neutral
 Yep finished chocked full of spelling and grammatical errors but Im cleaning it up tomorrow and popping it up  hehe,negative
 HAHAHHA lol true that i always remember my BD but i can never remember what date or even day it is,neutral
Family is herehanging with them,neutral
Watching Ellen Love her then doing the dishes  and tanning its gorgeous out,positive
 whats goin on hun  Im worried about you,negative
 Im not bannished but I am at work till ,negative
 Morning If I get to see it Ill let you know Right now Im going to go see Wolverine,neutral
 red top tabloids build em up knock em down,neutral
tonight in party w my girls minus vita,positive
  why not now you made me sad I thought youd be jumping for joy,neutral
 Simple my a,neutral
The pics I just uploaded are the baby pics of my cats Missy is now an adult and a pretty little kitty but Batty is in kitten heaven now,neutral
 I saw the play of it here it was amazing,positive
  i am glad to break my twitter virginity with you two,positive
Dinner with the fam I have missed them,negative
Live Thats what I want More the better Bound to be a few bad eggs though but they will soon learn,neutral
Hell yeah Kellynn got a Twitter Finally,neutral
 I know   It was worth a shot though,positive
Just opened a facebook account Im a little confused I dont really get it Twitter seems much better,positive
Ship Im stuck,negative
DUSTBIN BABY ON AT  Cannot wait  x,positive
 Not going to dwell on it It happened its passed Just a shame as he was so supportive Such is life  x,negative
It looks like the office TV DOES get MLB Network and it looks like MLBN will NOT be televising the DETBAL game today  wieters,neutral
Home empty handed  No comics found today  I shall now indulge in my cupcakes from Magnolia Bakery,neutral
Laying in bed til workkk Oh the life Definitely pinched a nerve,negative
today is a busy day exhausting,negative
 I was going to go on Sunday but now Ive got too much going on that weekend,neutral
 Sorry to hear ur flight got cancelled  that blows,negative
ohh my tooth is hurts ohh  im sad it very hurts,negative
Before I get too distracted Id like to thank my new followers for taking the trouble to follow me And to my others feelin the love,positive
 u think u have bills HaIi just finished paying mine thats y Im broke,negative
 Not sure it didnt say it was  big I jst saw the pics of u on ur last bday You looked so pretty I miss you,neutral
sore throat Planning the TET outing to Marwell thoughgood times,neutral
mcfly gig last nightt omg it was amazin didnt sit down through the whole thing  mcfly did you see me and ma best mate we were in tutus,positive
 days without sleep and now a migraine I thought life  was meant to be relaxing,negative
 There,neutral
sucks,negative
 whens the sway sway winner announced,neutral
 K will check it out,neutral
 doing pretty well up and wide awake,positive
i want to wake up early and get a coffee tomorrow today   its going to be a busyy day but have to keep writing booo whoo,neutral
I Miss Daddy and Mommy,negative
My dog is officially depressed that my brothers dogs are gone He doesnt want to go outside and when we did he play halfheartedly,negative
I just realized that I cant forward text msgs with my iPhone,neutral
My frist post Off to find a new car for my parents exciting,positive
Argh noo Missed The Killers on Wossy  That sucks Missed out on Brandon Total failure Anyone know if its repeated Must investigate,negative
seriously bored without anyone to talk to but not tired enough for sleep,negative
 I am lost Please help me find a good home,negative
Its a Peter  Gordon morning   And I go to pieces and I wanna hide  Go to pieces and I almost die  Ever  ,neutral
Ok so Ive now got a bit of a bad back after lifting all drum hardware into my car   downer,negative
 LMAO Smh  that one threw me off,neutral
 oh nice going,positive
Is getting ready for work Working all weekend,neutral
Gonna celebrate Mothers Day with the family but gonna start the partying tonite,positive
 i agree with you,positive
 I only do computers Am hopeless at everything else,negative
 degrees gross skies and thunderstormsperfect match for my mood  lol,positive
 aww thanks,positive
 Sorry RB is on  for me,negative
I saw amazing heeels But they were too big,neutral
I just stuck my finger down my throat and there are a bunch of bumps on my tongue  throat,negative
dang last url went down   ,negative
 ohoh i missed all ur tweets  im gonna have to stay awake all night to see the announcement now  time difference,negative
 Damnit all That sucks  You were one of the ones I thought Id drag back lol,negative
 my boss Shes moving to NYC,neutral
this is sooo crazy i have fever,negative
is spending her Saturday morning taking notes for a research essay because some stupid  recalled the book Im using Not fair,negative
I think i need some new friends,neutral
 Looking forward to your gig in Ireland  See ya there,neutral
Please Review Sunehre Ad Placement  ,positive
aww  you loooove me,positive
is hungry twitter  i want food ,neutral
awesome lucky you,positive
 yea i should know but tell me EVERYTHING  ps send me direct messages telling   haha,neutral
 haha im jewish i love that one,positive
had a great time out in the beer garden wit the boyos  I think the sun got to me a bit though feel a bit ill ,neutral
 lm on  days too matt No fun this weekend,negative
 u really dont think so  maybe ur rightlol btw what phone u using think u told me  might have an app for u,neutral
 I feel your pain Mine is the same way,negative
comes home in two days,neutral
 Sadly no It didnt come with one,negative
Cant wait to see my boy tomorrow,positive
 ehhh no just a check up I have a dentist app next week though getting my molar pulledroot canal,neutral
 aww I miss driving down elmwood,negative
Omg Wango Tango was  AWSOME I love my baby for taking me,positive
Version  of our live interactive TransSiberian ticket planner is launched   its very cool,positive
 I really wish I could go,positive
 yeah real hard but I know youll get by with it smile,neutral
 Im  in december thats not good at all next big birthday is   after  it flys by for sure,negative
  This has made my night  Way too funny,positive
Woo CAVS  Happy Mothers Day,positive
 I make that same face when I get home and your mom is watching soaps,neutral
I have to go to work now,neutral
 I cant believe you went and got boba without me,neutral
  And to you too how are you today,neutral
 Thanks for the warm welcome We didnt make plans   because our arrival time was so up in the air,positive
 days and counting,neutral
 sorry  friends  Im swamped with deadlines right now and we have family visiting to boot No charades for me,negative
BRAINFREEZE,neutral
Just discovered a shortcoming of Gravity When you use Twitpic integrated it doesnt subtract the pic URL from the  character limit,neutral
My sunburn is peeling,negative
perky purple nail polish isnt as perky when its chipped,neutral
  before they put a CAMERA in the smokers pit  i can no longer vandalize that door without being caught,neutral
Laying ALONE Since Mooks soo comfy in his fn play pen I thought it was ill at first now I dont have no one to cuddle with,negative
I hate the dentist,negative
 nothing aimed at you just joining insorry,negative
Im taking a twitter break Cell is dying,negative
 qood morninq,neutral
writing my english original writing storyyyyy and listening to a little respect by erasure  aaaaaah,neutral
needs more followers,neutral
I wish I could get my nails done  stupid job,negative
The little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form aww  ,neutral
 the no pants idea could be the new attempt worldwide to attract business back to the airlines,neutral
 Have a good one,positive
 yep infact she is popular miss india  talented film actress  and lot more,positive
Dosent Want To Go To Work Tomorrow,negative
Daniel has won DSDS His voice is great,positive
O i wish the birthday massacre would come to australia  i think they said theyre thinking about it tho ,neutral
was hoping to go to Red Lobster this weekend,neutral
xATL u mean jack barakats wow so have u ever gone to his house Hehe i mean ur ssoo lucky to have the address,positive
I sure do hope it becomes  this afternoon ,positive
 it means that you are now FAMOUS Congrats,positive
My phone passed away yesterday He jumped off the table  Searching for a new phone,negative
I have such fantastic friends including several ones met through here thanks for being in my life  you are such amazing people,positive
tamlyn wishes she was as cool as my sock draw,positive
 so no rice or crusty bread with the chili  aawww,neutral
  We are of like minds this evening  my dear,neutral
come and save me from my packing please,neutral
Yes I love tea If that makes me typically English then so be it,positive
 a mouth for sure,positive
 I finally just have  hour of history at  pm but I went to my highschool at  am to make some homework with a friend,neutral
 pancakes with lemon and sugar thanks,positive
 Si no bueno  I guess I just dont entertain him ,negative
Im so hunrgy right now and these heels kill me I can hardly walk in them,negative
both electronic keys stopped working there is no keyhole cant get in my car so much for technology,negative
 Yay three followers Good to know more than one person in this big wide world likes fishies,positive
my name is Tony not hey   poor tony,negative
Goodmorning,positive
Took a shift tomorrow    I dont really feel like working right now,negative
 I love mine too  happy motherÃ¯Â¿Â½s day to your mom  John Taylor   much love to you too ,positive
Saw a black snake in the garden  Went back for a picture and it was gone,neutral
  We bought Ludi her own rug Dogs are the best,positive
No waterfront anymore   faccia luna and clarendon will have to do,negative
loves her mum very much Happy Mothers Day to all the wonderful mothers out there,positive
Slipped up and caught the flu  feeling like poop,negative
i have an urge to play wow but i have to wait  weeks til im at my dads  TIL MCFLY im so excited  L,positive
Ok  the passengers  no one is alive  theyre all dead  you just dont know it til the end  then you cry ,negative
Discovered  and  are sharing on G reader with me and didnt even know it Sigh Im such a G reader newb,neutral
is chilled out tonite so cannot spew venom or write funny Seems like these are the only  styles she has,neutral
 If u do please pray  me  Lord knows I need it,neutral
aaaaaw i want to live in the USA,neutral
Morning tweeple,positive
 Hey I didnt get any ,neutral
 Now you only have  hours to sleep   Rest if you need it,positive
  That makes my day so much better its been a rough one Did I mention I love the new photo,neutral
I dont want to sit at home on prom night Someone hang out with me,negative
Is heading home from foot surgery and wishing she had a boyfriend to come over and cuddle with,positive
concert tonight  chackin out and not coming tomorrow,neutral
 what happened I thought you were coming back today,neutral
 lol dammit  well then next time then,negative
 lol just dont ever forget me,positive
 Still jealous,negative
  Me at Forever   Ethan couldnt be there,negative
NOW IM SAD BUT IM NOT GIVING IN FIRSTI DIDNT DO NOTHING    ,negative
this week of mine was not easy  but finally its over ,negative
   Wow what a beautiful picture and by the wayI am straightjust wanted to let you know     Bella,positive
In Arch Drawing Checking out MVCCs CAD degree Looks good to me,positive
 there are people and then there are pencils some are sharp some are not and some can be sharpened  my pencil philosophy,neutral
just about to go home Im usually mr positive but this has been one of those daze well  mins until tomorrow,neutral
 but you always have lee Lets go to Paris,neutral
 you know you want to come keep me company whilst mums at her friends for the night  its such a nice evening,positive
cooking with my dad  having lots of fun in the kitchen together,positive
Bouncing Rush makes me feel nauseous,negative
Off to Woolsery this morning to hopefully see North Molton  clinch the North Devon League title Lovely day for it,positive
playing singstar without my fave duetter,negative
  youre missing out bb im such a cereal nut i think i like every kind available,positive
 Thats just weird   Oh and what was it you were drawing for me,negative
Just woke up o mums singing to her new gnr cd replacement i bought because im a good daughter,positive
The birds are out oh man Thats NOT cool  I didnt sleep yet for the night,negative
 miles down only  to go Thats ok  on the radio alwas helps,positive
My Street Fighter IV skills are lacking cant beat Seth on easy,negative
 FIL  with cool people like me,positive
Good Morning Work and then its ESPNs Sunday night Baseball hopefully it wont get rained out,positive
 i think its under a honeymoon by the good life  either that or its under a honey moon by joseph arthur,neutral
my son got stung by a bug for the first time  his little finger is slightly swollen,negative
 it was hours ago i came in and its only now i realised when i went to buy something online,neutral
 oh just referring to our lil exchange on LJ with regards to twitter archive postings,neutral
Bumping dj opus in the drunk in the car  lmao Dont act like u dont know,negative
Why kiss the feet of the people who kick you when you can be anything that you want to  morning everyone Hope you have the best day ever,positive
Heres a brief preview    OMG James is creepy in that role Im scared of him,negative
Im missing crab legs and attending my going away instead,negative
Hicks are mean,negative
gettn ready to take a trip to Jersey my dads not doing so good he needs a new heartwhoeva sees this please say a prayer for my dad,negative
back soon need to run to the shops and cut the grass,neutral
Im up I have a plan to transform my bedroom today Random,neutral
Home until tomorrow Did my running and spinning Now time for chiropractor laundry shopping and visiting family Missing nathan,negative
 thats another sponsor,neutral
 And most of us are going to be stuck in an office some without windows,negative
 No its not sad Should make you proud,negative
   Sorry well try to keep it down,negative
is home alone Doing hw,neutral
According to  a quarter of families under six live in poverty,negative
the plan to not spend money is not going well,negative
uploading all my bamboozle pictures of facebook,neutral
 congratulations  you guys finish a month early than we do booo,positive
 actually I wish I was back in Tahoe  I miss it there,negative
Woke UpI Wanna Stay In My bed,neutral
 but my bday is JUNE  this is wack and ihavent seen any promotions for my bday party  someone better finagle this asap,negative
 It would be great if those VIPS were for some acts Id enjoy seeing but noooo,neutral
Marie Wish I could make it too I hate my commute sometimes,neutral
workin a long day today hopefully i can make some good tips,positive
 but it all went too quick and there wasnt a chance lol,negative
Hates headaches Maybe Im not ready to rock,negative
 Thanks for the support,positive
theres really no android twitter app of Tweeties calibre,neutral
had a good day driving up mountains visiting katie eating chips  fudge and stocking up on lovely smelling soaps,positive
Nyappy mothers day to your moms,positive
yeah and im gonna take ur picture off my ipod baby,neutral
 traumatizing moment of my childhood my dogs massacred baby bunnies and my brother and i got out the bb gun,negative
 lol same herewish there was a way to microsize everythinglol,neutral
 organization ITIL forget about people and so they fail preaching to the converted  IT is the people ,negative
Libertine um glad you enjoyed it,positive
About to have dinner and then an evening of playing cards Already packed and ready to head home tomorrow   Do we have to go home,neutral
 im allergic to cats my tonsils get swollen and they hurt  what do i dooo,negative
 He says he feels mama tucking him in at night  Hes lonely but getting by Tomorrow will be tough,negative
I miss her alot and its only been one day,negative
 sounds like you all had a great night  im glad it was successful,positive
 Thanks for sharing that,positive
 you should say mlia instead of fml  i hope you find it soon,positive
Garden going well almost all the corn and peas are up no onions or beets up yet though,positive
 nah jkin hes hot so bored now,neutral
